Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,Yes,No,No,"The post announces a new Chief Supply Chain Officer but does not mention any aspect of materials, energy, water consumption, eco-efficiency, or reduction of resource inputs in the supply chain.",No,"There is no reference to environmental pollution, emissions, or any commitments/measures to reduce emissions.",No,"The post does not mention environmental technologies, green processes, or eco-designed products; it focuses only on leadership and strategy in the watch industry generally.",No,"Although it is a hiring/appointment announcement, it does not discuss employee welfare, workplace safety, diversity, compensation, or training opportunities; it only highlights an executive joining the company.",No,"No mention of human rights policies, conventions, or supplier auditing (e.g., child or forced labor) is made.",No,"The content does not address corporate citizenship, philanthropy, public health, business ethics programs, or local community impact.",No,"There is no information about product quality, consumer health and safety, product integrity, or customer data privacy.",Yes,"The post explicitly announces a new executive leadership appointment (Chief Supply Chain Officer) and ties it to driving company strategy and leadership in the watch industry, which directly concerns corporate governance and operational direction.",No,"There is no discussion of investor relations, shareholder treatment, reporting, or anti-takeover measures.",No,"The appointment is framed in terms of business strategy and industry leadership, but there is no explicit mention of ESG, sustainability, or CSR integration into corporate strategy or reporting."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"The post mentions supply chain and production in very general terms but does not explicitly reference materials, energy, water use, resource efficiency, or eco-efficient supply chain practices, so it cannot be classified under Resource Use.",No,"There is no mention of environmental pollution, emissions, climate impact, or any reduction initiatives related to emissions.",No,"While the word “innovation” appears, it is used broadly in the context of corporate vision and roles, without explicit reference to environmental technologies, green processes, or eco-designed products aimed at reducing environmental burdens.",Yes,"The post is centered on engineers’ roles, recruitment, career opportunities, internships, and work-study positions at Hermès. It explicitly discusses being an engineer at the company, technical expertise, and a constantly evolving work environment, which falls under workforce and employment-related content.",No,"The content does not address human rights conventions, policies, or supplier auditing related to issues like child labor or forced labor.",No,"There is no explicit mention of corporate citizenship, community charity, public health, or localized social impact initiatives; the focus is internal (students as potential employees), not broader community engagement.",No,"Although quality control is briefly mentioned, it is in the context of engineering roles, not in terms of consumer health and safety, product integrity standards, or customer data privacy responsibilities.",No,"The post does not address corporate governance, executive leadership, board structures, or management-level policies; it focuses on operational engineering roles and recruitment.",No,"There is no discussion of investors, shareholder treatment, financial reporting to shareholders, or anti-takeover mechanisms.",No,"The post does not describe overarching ESG, CSR reporting, or integration of environmental and social considerations into corporate strategy; it is framed as talent attraction and role explanation rather than CSR strategy communication."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,No,No,Yes,"The post explicitly mentions turning fabric waste into usable products (tote bags, tablecloths), which is a form of waste reduction and circular use of materials, directly related to resource efficiency and reduced material inputs.",No,"There is no mention of greenhouse gas emissions, pollution, or measures to reduce emissions in operations or products.",No,"Although the activity is sustainable, the post does not describe new environmental technologies, green processes, or eco-designed products beyond basic upcycling; no explicit innovation theme is presented.",No,"The content focuses on local women from low-income families in the community, not on the company’s internal employees, their working conditions, or HR practices.",No,"The post does not reference human rights policies, avoidance of child/forced labor, or supplier audits; it only describes skills training and income generation support.",Yes,"The initiative is framed as a community support program via the Coats Cares initiative and an NGO partnership, aimed at empowering local women from low-income families, creating income, and building confidence—clear corporate citizenship and localized social impact.",No,"While products (tote bags, tablecloths) are mentioned, there is no discussion of consumer health and safety, product quality standards, or data privacy.",No,"There is no information on governance structures, executive leadership decisions, or board-level topics.",No,"The post does not discuss investors, shareholder treatment, financial reporting, or anti-takeover measures.",No,"The post presents a single community initiative but does not describe broader ESG/CSR strategies, reporting, or how sustainability is integrated into overall corporate decision-making."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,No,No,Yes,No,No,"The post does not mention materials, energy, water use, eco‑efficient supply chain, or reduction of resource inputs. It only references sustainability in general terms without specifying resource-related actions.",No,"Although the company mentions a commitment to the Science Based Targets initiative (SBTi), the post does not explicitly state anything about emissions, pollution, or concrete emission‑reduction measures. The reference is too high-level and non-specific to count as explicit emissions content under the strict instructions.",No,"There is no mention of environmental technologies, green processes, or eco‑designed products. The LOOP programme is cited but not described in a way that explicitly links it to environmental innovation or reductions in environmental burdens.",No,"No content relates to employees, workplace conditions, diversity, training, or compensation.",No,"There is no reference to human rights policies, avoidance of forced/child labor, or supplier human rights practices.",No,"The post does not discuss community engagement, philanthropy, public health, or ethical impacts on local communities.",No,"There is no mention of product quality, consumer health and safety, product integrity, or data privacy.",No,"While the CEO is mentioned as presenting results, there is no discussion of governance structures, executive compensation, or board/management practices. It is a performance and outlook update only.",No,"The post discusses financial performance and outlook at a high level but does not address investor relations practices, shareholder treatment, reporting frameworks for shareholders, or anti‑takeover measures.",Yes,"The company explicitly states it will maintain a clear focus on sustainability and names specific overarching initiatives: the LOOP programme and its commitment to the Science Based Targets initiative (SBTi). This is framed in the context of overall strategy and outlook for 2025/26, indicating communication of their broader sustainability/CSR approach rather than a single isolated action."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention materials, energy, water, or eco-efficient supply chain or resource input reductions; it only mentions emissions and social/governance themes.",Yes,There is explicit evidence of emissions management: “Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).” Scope 3 emissions reduction is directly related to the Emissions subcategory.,No,"No reference is made to specific environmental technologies, green processes, or eco-designed products; only outcomes (emissions reduction) and ESG framework are mentioned.",Yes,"The post highlights increased employee volunteerism and references “the people who make everything we do possible,” which indicates internal workforce engagement in company programs; however, there is no detail on health/safety or pay, but employee-focused engagement counts under Workforce.",Yes,"The post explicitly mentions “Women’s Empowerment Principles Assessment Score,” which is tied to UN Women’s principles and gender equality as a human rights concern. This is an explicit reference to human-rights-related commitments within corporate practice.",Yes,"The post notes “Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement,” which clearly relates to corporate citizenship and localized social impact.",No,"There is no mention of product quality, consumer health and safety, product integrity, or customer data privacy.",No,"While the CEO is quoted, the content does not discuss corporate governance structures, executive compensation, or board-level management practices; it only uses leadership voice to introduce ESG themes.",No,"There is no mention of investors, shareholder treatment, financial reporting to shareholders, or anti-takeover measures.",Yes,"The post promotes the “2024 Corporate Sustainability Highlights Report” and describes “Make Time for Good” as “our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” which is explicitly about overall CSR strategy and integrated ESG management and reporting."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post discusses an academic collaboration and a guest lecture on fashion and luxury industry analysis, with no mention of materials, energy, water use, or resource-efficient supply chains.",No,"There is no reference to pollution, emissions levels, or measures to reduce emissions in operations or production.",No,"Although fashion and luxury are mentioned, there is no explicit reference to environmental technologies, green processes, or eco-designed products aimed at reducing environmental burdens.",No,"The post mentions company heads giving a lecture and thanks students, but does not address employee working conditions, health and safety, compensation, diversity, or training/internal development programs.",No,"The content does not mention human rights policies, issues such as forced or child labor, or supplier auditing practices.",No,"While there is a collaboration with a university, it is framed as an educational/industry partnership without explicit positioning as corporate citizenship, philanthropy, public health, or localized social impact/charity activities.",No,"There is no mention of product quality, consumer health and safety, product integrity, or customer data privacy.",No,"The post does not cover governance structures, executive compensation, board decisions, or corporate direction; it only notes job titles of speakers.",No,"There is no discussion of investors, shareholder treatment, financial reporting to shareholders, or anti-takeover measures.",No,"The collaboration and lecture are not framed in terms of sustainability, ESG, or corporate responsibility strategy or reporting; they are presented as industry-academic engagement and educational content, without broader CSR context."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post describes a showroom chair design and upholstery aesthetics. There is no mention of materials sourcing, efficiency of resource use, water/energy consumption, or eco-efficient supply chain management.",No,"There is no reference to environmental pollution, carbon or other emissions, or any actions/commitments to reduce emissions in production or operations.",No,"Although the post discusses design and patterns, it does not mention environmental technologies, green processes, or eco-designed products aimed at reducing environmental impact or costs.",No,"The content does not address employees, working conditions, safety, compensation, diversity, or training.",No,"There is no mention of human rights policies, avoiding child/forced labor, or supplier auditing, nor any broader human rights issues.",No,"The post focuses on showroom atmosphere and design in an urban district, without referencing corporate citizenship, philanthropy, local community impact, or public health protections.",No,"The chair and upholstery are described only in terms of aesthetics; there is no discussion of product safety, consumer health, quality standards, or data privacy.",No,"The post does not touch on governance structures, leadership, executive compensation, or corporate strategic direction.",No,"There is no information related to investors, shareholder treatment, reporting, or anti-takeover measures.",No,"The post is purely marketing/branding content about design and atmosphere, with no reference to ESG reporting, sustainability strategy, or integration of environmental/social/governance considerations into decision-making."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not mention materials, energy, water use, or resource efficiency in operations or supply chains.",No,"There is no reference to pollution, emissions, or actions to reduce environmental emissions.",No,"The content does not discuss environmental technologies, green processes, or eco-designed products.",Yes,"The post is entirely focused on workplace burnout, employee mental and physical health, job-related stress, productivity, and creating a healthier company culture. These are clear workforce topics related to workplace health and well-being.",No,"No mention is made of human rights conventions, child or forced labor, or human rights policies or audits.",No,"The focus is internal (employees within the company), not on external communities, philanthropy, or broader public health initiatives beyond the workplace.",No,"There is no discussion of product quality, consumer health and safety, or customer data/privacy issues.",No,"Although company culture is mentioned, the post does not explicitly address governance structures, leadership decisions, executive pay, or board-level management topics.",No,"The post does not discuss investors, shareholder treatment, or investor-related reporting or mechanisms.",No,"While it touches on employee well-being, it does not explicitly describe a broader CSR/ESG strategy, reporting, or integration of ESG into corporate decision-making."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post describes a pop-up retail experience and jewellery collaboration, but does not mention materials sourcing, energy, water use, or eco-efficient supply chain/resource reduction efforts.",No,"There is no reference to environmental pollution, carbon/other emissions, or actions to reduce emissions in operations or production.",No,"Although the word “innovation” is used, it is in a general marketing sense about design, creativity, and a mobile retail concept, not about environmental technologies, green processes, or eco-designed products aimed at reducing environmental impacts.",No,"The content does not discuss employees, workplace conditions, safety, compensation, or training/development topics.",No,"There is no mention of human rights policies, avoidance of child/forced labor, or supplier auditing practices.",No,"While there is a cultural and creative theme, the post does not clearly reference corporate citizenship, community investment, public health, ethics programs, or localized social impact/charity initiatives.",No,"The post promotes a jewellery collection and pop-up experience but does not address product safety, product quality controls, consumer health and safety, or data privacy/responsible marketing practices.",No,"There is no discussion of governance structures, leadership decisions, executive compensation, or board-level topics.",No,"The post does not mention investors, shareholder rights, reporting to shareholders, or anti-takeover measures.",No,"The post is purely a marketing announcement for a collaboration and pop-up experience; it does not reference CSR, ESG goals, sustainability reporting, or integration of environmental/social/governance considerations into corporate strategy."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post discusses showcasing apparel products and networking at an industry expo, but does not mention materials, energy, water use, resource efficiency, or supply chain resource optimization.",No,"There is no reference to emissions, pollution, carbon footprint, or any measures or commitments to reduce environmental emissions.",No,"While the post briefly mentions “innovative printing capabilities,” it is in a purely commercial/marketing context without any explicit link to environmental technologies, green processes, or eco-designed products aimed at reducing environmental impact.",No,"The post notes that “our teams” connected and showcased products but does not address employee conditions, satisfaction, safety, compensation, diversity, or training.",No,"There is no mention of human rights policies, avoidance of child/forced labor, or supplier human rights audits.",No,"The content focuses on a trade expo, product showcasing, and business relationships, without references to community engagement, philanthropy, public health, or broader social impact activities.",No,"Although product “quality” is mentioned, it is general marketing language and there is no explicit discussion of consumer health and safety, product integrity standards, or customer data privacy.",No,"The post does not discuss governance structures, board composition, executive leadership decisions, or executive compensation.",No,"There is no information about investors, shareholder relations, reporting, or takeover defenses.",No,"The post is a marketing recap of participation in an industry expo and does not reference sustainability, ESG reporting, or integrating environmental or social issues into corporate strategy."
