Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,No,Yes,No,"The post only announces the appointment of a Chief Supply Chain Officer and mentions supply chain planning and logistics without any explicit reference to reducing material, energy, or water use, or improving eco-efficiency in the supply chain.",No,"There is no mention of environmental emissions, carbon footprint, or emission reduction initiatives linked to the new role.",No,"The text does not describe any environmental technologies, eco-designed products, or innovations aimed at reducing environmental burdens for customers.",No,"Apart from generic hiring/appointment information, there is no discussion of job satisfaction, health and safety, diversity, equal opportunity, or employee development.",No,"The content does not refer to human rights policies, labor standards, or respect for fundamental human rights conventions.",No,"The announcement does not mention community engagement, public health, philanthropy, or business ethics programs.",No,"There is no reference to product quality, customer health and safety, or data privacy; the focus is solely on leadership and strategy in the watch industry.",No,"While it names an executive role, it does not address corporate governance practices, board structure, oversight mechanisms, or governance policies, so there is no explicit governance-theme content as defined by the category.",No,"The post does not mention shareholder rights, equal treatment of shareholders, or anti-takeover measures.",No,"There is no indication that this appointment is tied to CSR or to integrating environmental, social, and governance aspects into decision-making; no CSR policies, goals, or reporting are mentioned."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"Although a Supply Chain expert is mentioned, there is no explicit reference to reducing materials, energy, or water use, or to eco-efficiency or sustainable supply chain management.",No,"The post does not mention environmental emissions, carbon footprint, or any efforts or commitments to reduce emissions.",No,"Innovation is mentioned generally as part of the corporate vision, but there is no explicit link to environmental technologies, eco-designed products, or reducing environmental burdens for customers.",Yes,"The post focuses on engineers’ roles, a recruitment session, and career opportunities, highlighting the working environment and development paths for engineers at Hermès, which directly relates to workforce development and job opportunities.",No,"There is no explicit mention of human rights policies, labor rights, or adherence to human rights conventions.",No,"Engagement with a university is presented in the context of recruitment and knowledge-sharing, but there is no explicit framing as community citizenship, public health protection, or broader business ethics initiatives.",No,"While production and quality control are mentioned, there is no explicit reference to customer health and safety, product safety standards, or data privacy/integrity.",No,"The post does not address corporate governance practices, board structures, or management systems related to governance.",No,"There is no mention of shareholder treatment, voting rights, or anti-takeover mechanisms.",No,"The post does not communicate a CSR or sustainability strategy, reporting, or explicit integration of social/environmental factors into overall corporate decision-making; it focuses on recruitment and engineering roles."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post explicitly describes turning 'fabric waste into products like tote bags and tablecloths,' which is a clear example of material reuse and waste reduction, fitting the Resource Use focus on reducing resource inputs and improving eco-efficiency.",No,"There is no reference to greenhouse gases, carbon footprint, pollution control, or any emissions-related targets or actions.",No,"Although the activity is described as promoting sustainability and using fabric waste, the post does not explicitly mention new environmental technologies, eco-designed products, or green process innovations aimed at reducing environmental burdens.",Yes,"The initiative provides 'sewing and online selling training' that helps women create income and build confidence, which directly relates to skills development and economic empowerment of people engaged in work, aligning with the Workforce category’s focus on development opportunities.",No,"Supporting low-income women is socially beneficial, but the post does not explicitly reference human rights conventions, labor rights policies, or avoidance of forced/child labor.",Yes,"The project is explicitly framed as supporting 'local women from low-income families' under the Coats Cares initiative and uses #EmpoweringCommunities, clearly indicating a community investment and corporate citizenship effort.",No,"There is no discussion of product safety, consumer health, product quality standards, or customer data privacy related to the items produced.",No,"The post does not mention governance structures, leadership practices, executive oversight, or board-level decisions.",No,"There is no reference to investors, shareholder rights, financial returns, or capital market communications.",Yes,"The initiative is branded as 'Coats Cares' and tagged with #SustainableImpact, indicating a structured CSR program that combines social empowerment (income, confidence for low-income women) with environmental aspects (use of fabric waste) as part of the company’s broader responsibility activities and communications."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post only states a general focus on sustainability and names the LOOP programme without specifying any concrete measures related to materials, energy, water use, or eco-efficient supply chain management, so resource use cannot be evidenced explicitly.",Yes,"The explicit mention of a commitment to the Science Based Targets initiative (SBTi) directly concerns setting and achieving science-based greenhouse gas emissions reduction targets, which falls under emissions.",No,"While the LOOP programme is referenced, the text does not describe it as an environmental technology, green process, or eco-designed product aimed at reducing environmental burdens, so environmental innovation cannot be confirmed from this post alone.",No,"There is no explicit reference to employees, working conditions, safety, diversity, or training; the focus is on financial results and high-level sustainability commitments.",No,"The post does not mention human rights conventions, policies, or supplier labor standards such as child or forced labor.",No,"There is no explicit discussion of community engagement, philanthropy, public health initiatives, or localized social impact activities.",No,"Product quality, consumer safety, and customer data privacy are not discussed; the content centers on financial performance and sustainability positioning.",Yes,"The announcement of the annual report, discussion of strategic initiatives, and an invitation to hear the CEO explain results and outlook all relate to corporate governance, leadership communication, and management oversight of company performance.",No,"Although financial results are presented, there is no explicit mention of shareholders, investor relations, shareholder rights, or related reporting obligations.",Yes,"The post links financial performance and future outlook with a stated clear focus on sustainability, including the LOOP programme and SBTi commitment, indicating integration of sustainability considerations into overall corporate strategy and reporting, which fits CSR Strategy."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention materials, energy, water use, or eco-efficient supply chain/resource management; it only cites emissions reduction and broader sustainability commitments.",Yes,"It explicitly reports a 61.8% reduction in absolute Scope 3 emissions from a 2021 baseline, which is direct evidence of managing and reducing environmental emissions in operations/value chain.",No,"There is no reference to environmental technologies, green process innovations, or eco-designed products aimed at reducing environmental burdens.",Yes,"The post highlights increased employee volunteerism (hours up 58%), indicating programs that engage internal employees in social initiatives and reflect aspects of workforce involvement and culture.",Yes,"The post notes an increased Women’s Empowerment Principles Assessment Score to 75%. The WEPs are grounded in UN principles on gender equality and women’s rights, providing explicit evidence of attention to human-rights-related gender equality and non-discrimination.",Yes,"It states that employee volunteer hours surged by 58%, ‘reflecting the team’s dedication to community engagement,’ which directly indicates corporate community involvement and localized social impact activities.",No,"There is no mention of product quality, consumer safety, product integrity, or customer data privacy; the focus is on emissions, gender equality, community engagement, and sustainability reporting.",Yes,"The post describes ‘Make Time for Good’ as a framework for managing environmental, social, and governance initiatives, and references a Corporate Sustainability Highlights Report, evidencing formal ESG oversight and management structures at the corporate level.",No,"There is no reference to investors, shareholder communications, shareholder rights, or anti-takeover measures.",Yes,"‘Make Time for Good’ is explicitly identified as the framework guiding ESG initiatives and the company’s purpose-driven approach, and the post announces a Corporate Sustainability Highlights Report—clear evidence of an overarching CSR strategy and ESG reporting."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post describes an academic collaboration and guest lecture about fashion and luxury industry analysis, with no reference to materials, water, energy efficiency, or supply chain eco-efficiency.",No,"There is no mention of greenhouse gas emissions, pollution, or efforts to reduce operational or production-related emissions.",No,"While the post mentions ‘shaping the future of fashion and luxury,’ it does not explicitly refer to environmental technologies, eco-designed products, or reducing environmental burdens for customers.",No,"The content focuses on a university partnership and guest lecture, not on the company’s own workforce conditions, safety, diversity, or employee development programs.",No,"There is no explicit reference to human rights policies, conventions, or related practices.",No,"Although it involves a school of management, the post frames this as a long-standing educational/industry partnership without explicit claims about broader community citizenship, public health, or business ethics initiatives.",No,"The lecture covers industry analysis and menswear evolution, but does not discuss product safety, customer health, data privacy, or quality management frameworks.",No,"There is no information about corporate governance, board practices, risk management, or compliance structures; the reference to Heads of Merchandising is operational, not governance-related.",No,"The post does not address shareholder rights, treatment of investors, or anti-takeover mechanisms.",No,"The ongoing collaboration with a business school is presented as educational and strategic for the fashion industry, but there is no explicit communication about integrating environmental, social, and economic dimensions into corporate decision-making or CSR reporting."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post only describes design aesthetics of a showroom chair and fabric; it does not mention material efficiency, reduced water or energy use, or eco-efficient supply chain management.",No,"There is no reference to emissions, carbon footprint, pollution control, or reduction of environmental impacts from production or operations.",No,"Innovation is presented purely in terms of visual and interior design; there is no explicit link to environmental technologies, eco-designed products, or lowering environmental burdens for customers.",No,"The text does not mention employees, workplace conditions, safety, diversity, or training and development.",No,"There is no discussion of human rights policies, labor standards, or respect for fundamental human rights conventions.",No,"Although the post references the Warsaw district, it does so purely as an aesthetic context; there is no indication of community engagement, philanthropy, public health, or business ethics initiatives.",No,"The description focuses on style and atmosphere and does not address product safety, quality management beyond aesthetics, or customer data/privacy issues.",No,"No information is provided about corporate governance, board practices, risk management, or compliance structures.",No,"The post does not mention shareholder rights, dividends, voting, or anti-takeover mechanisms.",No,There is no indication that the company is communicating an integrated CSR or sustainability strategy; the content is purely marketing/design oriented.
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not mention materials, water, energy efficiency, or supply chain resource management.",No,"There is no reference to environmental emissions, pollution, or emission-reduction efforts.",No,"The content focuses on employee well-being and burnout, not on environmental technologies, eco-design, or reducing environmental burdens for customers.",Yes,"The post explicitly discusses workplace burnout, its symptoms, the impact on employees, and the need for companies to create systems that encourage balance and care and foster a healthier company culture. This directly relates to job satisfaction, mental health, and workplace well-being, which fall under the Workforce category.",No,"Although it touches on mental health at work, there is no explicit mention of fundamental human rights conventions, labor rights frameworks, or human rights policies.",No,"The focus is on internal workplace well-being rather than broader community engagement, philanthropy, or public health programs at the community level.",No,"There is no discussion of product quality, customer health and safety, or data privacy.",No,"The post does not address corporate governance structures, executive oversight, or governance policies; it only generally mentions that companies can create systems for better balance.",No,"No mention is made of shareholders, voting rights, or anti-takeover measures.",No,"The post raises awareness about burnout but does not describe a formal CSR strategy, reporting, or integration of ESG dimensions into corporate decision-making."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post promotes a pop-up retail experience and jewellery collection without any mention of reducing materials, energy, water use, or improving supply chain eco-efficiency.",No,"There is no reference to environmental emissions, carbon footprint, or efforts to reduce operational or production-related emissions.",No,"Although the post mentions 'jewellery innovation' and a new mobile concept, it does not explicitly link these innovations to environmental benefits, eco-designed products, or reduced environmental burdens for customers.",No,"The content does not discuss employees, workplace conditions, diversity, safety, or development opportunities.",No,"There is no mention of human rights policies, labor standards, or adherence to human rights conventions.",No,"While there is cultural and creative positioning in Chengdu, the post does not describe community investment, public health initiatives, or business ethics activities.",No,"The post refers to jewellery, styling, and design, but does not address product safety, customer health, data privacy, or quality controls in an ESG sense.",No,"No information is provided about corporate governance, board practices, risk management, or compliance structures.",No,"The post does not address shareholder rights, capital structure, or anti-takeover mechanisms.",No,"This is a marketing announcement about a collaboration and pop-up experience; it does not describe CSR policies, reporting, or integration of environmental and social factors into strategic decision-making."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post discusses exhibiting apparel products and networking at an industry expo, with no mention of reducing material, water, or energy use, or eco-efficient supply chain management.",No,"There is no reference to greenhouse gas emissions, pollution, or any efforts to measure or reduce emissions in operations or production.",No,"Although the post mentions 'innovative printing capabilities,' it does not explicitly link these innovations to environmental benefits, eco-design, or reduced environmental burdens for customers.",No,"The text briefly mentions 'our teams' but provides no concrete information about workplace health and safety, job satisfaction, diversity, equal opportunities, or employee development.",No,"There is no explicit mention of human rights policies, labor standards, or respect for fundamental human rights conventions.",No,"The post focuses on a trade expo and business relationships with suppliers and distributors, not on community engagement, public health, philanthropy, or business ethics initiatives.",No,"While the post refers to product 'quality' and 'innovative printing capabilities,' it does not address customer health and safety, product safety standards, data privacy, or integrity in product information.",No,"No aspects of corporate governance, such as board structure, policies, risk management, or executive oversight, are discussed.",No,"The article does not mention shareholder rights, capital structure, or anti-takeover practices.",No,"Despite the hashtag #MakingApparelBetter, the content does not describe how social, environmental, and economic considerations are integrated into corporate strategy or CSR reporting; it is primarily a marketing and networking recap of an industry expo."
