Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,No,Yes,No,"The post does not mention resource use, materials, energy, water, or supply chain efficiency; it is solely a leadership appointment announcement.",No,"There is no reference to emissions, carbon footprint, or environmental performance metrics.",No,"The post does not mention environmental technologies, eco-designed products, or innovative solutions related to reducing environmental costs.",No,"No information about job satisfaction, safety, compensation, diversity, or development opportunities is provided.",No,There is no discussion of human rights conventions or fundamental labor rights in the post.,No,"The post does not describe community impact, public health considerations, or ethics-related initiatives.",No,"No mention of product safety, quality standards, customer health, or data privacy.",No,"The post notes a leadership appointment but does not discuss governance principles, board structure, or governance practices.",No,"There is no reference to shareholders, shareholder rights, or anti-takeover provisions.",No,"No explicit discussion of integrating economic, social, and environmental dimensions into decision-making or CSR reporting."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,Yes,Yes,No,No,No,No explicit mention of resource use reduction or eco-efficiency; the post centers on corporate vision and engineer recruitment.,No,"No reference to emissions, carbon footprint, or waste management.",Yes,"Explicitly references innovation as part of Hermès' corporate vision and highlights collaboration between Information Systems and Supply Chain engineers, plus IT solutions.",Yes,"Mentions recruitment session and internship/work-study opportunities, indicating workforce development and talent recruitment.",No,No references to human rights conventions or labor rights issues.,No,No mention of community programs or external societal impact.,No,"No discussion of product safety, quality standards, or data privacy.",No,No explicit reference to governance structures or board practices.,No,No mention of shareholder rights or anti-takeover devices.,No,"No explicit communication of CSR strategy integrating economic, social, and environmental dimensions or CSR reporting."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post describes turning fabric waste into tote bags and tablecloths, indicating reuse of waste materials and promotion of sustainable resource use.",No,"There is no mention of energy usage, emissions reductions, or carbon footprint details.",No,"The post does not explicitly reference environmental technologies, eco-designed products, or new processes aimed at reducing environmental costs.",Yes,"The post notes sewing and online selling training for 25 local women, indicating development opportunities for participants and livelihoods enhancement.",No,There is no explicit mention of human rights conventions or rights-based frameworks.,Yes,"The initiative targets local women from low-income families in Bogor, Indonesia, via a collaboration with an NGO, signaling community impact and empowerment.",No,"There is no discussion of product quality, safety standards, or data privacy.",No,The post does not address governance practices or management structures.,No,"There is no reference to shareholder rights, anti-takeover devices, or shareholder value concerns.",Yes,The communication of Coats Cares and the partnership with an NGO to empower communities and promote sustainability indicates a CSR strategy and public reporting of social initiatives.
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions sustainability and the LOOP programme, but does not explicitly discuss reducing material/energy/water use or implementing eco-efficient supply chain improvements.",Yes,"The post explicitly cites the commitment to the Science Based Targets initiative (SBTi), which directly relates to setting and pursuing science-based emissions reduction targets.",No,"There is no explicit reference to environmental technologies, eco-designed products, or R&D aimed at lowering environmental costs.",No,"The post does not mention employees, workplace safety, compensation, diversity, or development opportunities.",No,There is no mention of fundamental human rights conventions or related rights issues.,No,"The post does not describe community investment, public health initiatives, or local ethical commitments.",No,"There is no discussion of product quality, safety standards, customer health, or data privacy.",No,"There is no explicit reference to governance practices, board composition, or governance codes.",No,"The post does not discuss shareholder rights, anti-takeover provisions, or shareholder equality measures.",Yes,"The post highlights a sustained focus on sustainability, citing the LOOP programme and the commitment to SBTi, indicating integration of environmental and social considerations into strategic decisions and reporting."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"No explicit mention of resource use reductions, energy/material/water efficiency, or supply chain resource management.",Yes,Explicitly states a 61.8% reduction in absolute emissions of Scope 3 (2021 baseline).,No,"No explicit reference to environmental innovations, eco-designed products, or new environmental technologies.",Yes,"Highlights the Women’s Empowerment Principles Assessment score reaching the top quartile and increased employee volunteerism, indicating workforce development and engagement.",No,No explicit reference to human rights conventions or rights-based commitments.,Yes,Evidence of community engagement through increased employee volunteerism and the sustainability framework centered on planet and communities.,No,"No discussion of product safety, health, or data privacy.",No,No explicit statements about governance practices or board oversight; only mentions a framework for managing ESG initiatives.,No,"No mention of shareholder rights, anti-takeover devices, or shareholder value strategies.",Yes,"References the Make Time for Good framework and positions sustainability as integral to the business, indicating an integrated CSR strategy and reporting."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post does not discuss material, energy, water usage, or eco-efficient supply chain management.",No,"There is no mention of emissions, carbon footprint, or related environmental metrics.",No,"The content focuses on an educational partnership and guest lectures, not environmental technologies or eco-design innovations.",No,"There is no reference to job satisfaction, safety, compensation, or diversity within ZEGNA's workforce.",No,The post does not mention human rights conventions or labor rights policies.,No,"No explicit commitment to community health, public welfare, or business ethics initiatives is described.",No,"There is no discussion of product safety, quality standards, or data privacy related to products.",No,"The post does not describe governance practices, board oversight, or management principles.",No,"There is no mention of shareholder rights, anti-takeover provisions, or investor relations.",No,"Although mentioning a long-standing partnership, the post does not articulate an integrated CSR strategy, reporting, or decision-making framework."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post discusses the Egg Chair design and showroom ambience in Warsaw with upholstery details but does not mention energy or water usage, materials efficiency, or supply chain resource management.",No,"There is no reference to carbon emissions, energy consumption, or environmental emissions related to production or operations.",No,"The content centers on interior design aesthetics rather than environmental technologies, eco-design, or innovations aimed at reducing environmental costs.",No,"There is no mention of employees, workplace safety, compensation, diversity, or development opportunities.",No,"The post does not reference fundamental human rights conventions, labor rights, or related governance issues.",No,"No evidence of community engagement, public health initiatives, philanthropy, or local societal impact is presented.",No,"Although the post mentions a chair and upholstery, it does not discuss product safety, health implications, or data privacy related to products.",No,"There is no information about corporate governance practices, management structures, or board oversight.",No,"The post does not include information on shareholder rights, anti-takeover measures, or capital allocation to shareholders.",No,"There is no communication about integrating economic, social, and environmental dimensions into day-to-day decision-making or CSR reporting."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not discuss materials, energy, water usage, or resource efficiency.",No,"There is no mention of emissions, carbon reductions, energy efficiency, or waste management.",No,"The post does not reference environmental innovations, eco-designed products, or new environmental technologies.",Yes,"The post centers on burnout, emotional/physical exhaustion, productivity, and calls for systems that protect employee balance and well-being, which aligns with workforce health and safety topics.",No,There is no mention of fundamental human rights conventions or rights-based supply chain considerations.,No,"The content focuses on internal workplace well-being rather than community health, public health initiatives, or external community engagement.",No,"No discussion of product quality, safety, customer health, or data privacy.",No,"No reference to governance practices, board oversight, or leadership structures.",No,"No mention of shareholder rights, anti-takeover measures, or shareholder value mechanisms.",No,The post does not articulate a CSR strategy or integrated ESG decision-making or reporting; it is a general workforce wellbeing message.
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post does not mention energy, materials, water usage, resource management, or eco-efficiency initiatives.",No,"There is no reference to emissions, carbon footprint, waste management, or environmental performance metrics.",No,The post references jewellery innovation in a marketing context but does not describe environmental cost reductions or eco-designed products.,No,"No information about job satisfaction, safety, compensation, or diversity/development opportunities.",No,No discussion of fundamental human rights conventions or supply chain human rights considerations.,No,"No explicit community impact initiatives, public health considerations, or business-ethics-related activities are described.",No,"No mention of product safety standards, health implications, or data privacy related to products.",No,"No information on governance structures, boards, or management practices.",No,"No reference to shareholder rights, anti-takeover devices, or shareholder value implications.",No,"No explicit integration of economic, social, and environmental dimensions into day-to-day decision-making or CSR reporting."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post focuses on showcasing Gildan’s product range and industry presence at the expo and does not mention materials/resource use, energy or water efficiency, or eco-friendly supply chain practices.",No,"There is no reference to carbon emissions, greenhouse gas reductions, or any emissions-related initiatives.",No,"The post mentions 'innovative printing capabilities' in a general sense but does not tie this to environmental technologies, eco-designed products, or reductions in environmental costs.",No,"There is no discussion of job satisfaction, workplace health and safety, compensation, or diversity and development opportunities.",No,"The post does not reference human rights conventions, labor rights, or related protections.",No,"There is no explicit mention of community impact, public health, or ethical community engagement.",No,"While the post notes product quality, it does not address health and safety requirements, data privacy, or other product-responsibility specifics.",No,"The content does not address governance practices, board structure, or governance principles.",No,"There is no reference to shareholder rights, anti-takeover measures, or investor-facing governance topics.",No,"The post is a general industry event update and does not communicate how CSR is integrated into day-to-day decision-making, strategy, or reporting."
