Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Under Armour,2025-11-02T19:20:41.506Z,https://www.linkedin.com/posts/under-armour_shop-the-shoes-that-got-sharon-lokedi-over-activity-7390830228694249472-jY8k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Since her breakout win at the 2022 NYC Marathon, Lokedi has podiumed in four of her six marathons, but 2025 stands apart as her most impressive year yet. For this run, she trusted Under Armour’s UA Velociti Elite 3, the brand’s most advanced marathon race shoe engineered for speed, stability, and endurance, and the same model that powered her Boston Marathon victory. 

Now available on UA.com and in select run specialty stores, the Velociti Elite 3 continues to deliver when it matters most.

https://lnkd.in/dndqHcw",No,No,No,Yes,No,"The post focuses on an athlete's performance and a specific product's features (speed, stability, endurance) without any mention of material reduction, energy/water efficiency, or eco-efficient supply chain management related to the product or company operations.",No,There is no discussion about the company's commitment or effectiveness in reducing environmental emissions from its production or operational processes.,No,"While the shoe is described as 'most advanced' and 'engineered for speed, stability, and endurance,' this refers to performance innovation, not innovation aimed at reducing environmental costs, developing new environmental technologies, or creating eco-designed products.",No,"The post highlights an athlete's achievement and a product, but does not provide any information regarding Under Armour's workforce practices, such as job satisfaction, workplace safety, diversity, or development opportunities for its employees.",No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,No,"The post does not discuss Under Armour's commitment to being a good citizen, protecting public health, or respecting business ethics within communities.",No,"While the post implies product quality through performance ('engineered for speed, stability, and endurance,' 'continues to deliver'), it does not explicitly discuss the integration of customer health and safety, product integrity beyond performance, or data privacy aspects of its goods and services.",No,"The post does not contain any information related to corporate governance principles, management effectiveness, or board structures.",No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,No,"The post is a product promotion and athlete endorsement. It does not communicate how Under Armour integrates economic, social, and environmental dimensions into its day-to-day decision-making processes, nor does it report on strategic CSR decisions or performance measures."
Under Armour,2025-09-22T15:33:23.394Z,https://www.linkedin.com/posts/under-armour_patrick-duroseau-on-making-an-impact-with-activity-7375915123816763393-ulHC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"At Under Armour, we believe in showing up for others and Patrick Duroseau is doing just that through his work with Soles4Souls, a nonprofit that turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use – providing relief, creating jobs and empowering people to break the cycle of poverty.

As a longtime volunteer and current Executive Board member, Patrick helps guide Soles4Souls’ strategy, strengthen financial oversight, and scale impact across global communities. From distributing shoes domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic, he’s seen firsthand how something as simple as a pair of shoes can restore dignity, unlock education, and create economic opportunity.

His leadership reminds teammates that giving back isn’t just a gesture, it’s a mindset. He encourages his teammates to adopt this thinking and fully leverage Under Armour’s 40 hours of annual paid #volunteer time. Making an impact in the community fuels connection, purpose, and growth for everyone involved.

#LifeatUA #FightonTogether",Yes,Yes,No,No,Yes,"The post explicitly mentions Soles4Souls 'turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use,' which directly reflects a company's performance and capacity to reduce the use of materials and find more eco-efficient solutions by preventing waste.",No,There is no mention of commitment or effectiveness toward reducing environmental emissions in production or operational processes.,No,"The post focuses on social impact and waste reduction, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",Yes,"The post highlights Under Armour's policy of '40 hours of annual paid #volunteer time' for its teammates, which demonstrates the company's effectiveness in providing development opportunities and benefits for its workforce.",Yes,"The work with Soles4Souls is described as 'providing relief, creating jobs and empowering people to break the cycle of poverty,' and helping to 'restore dignity, unlock education, and create economic opportunity.' These outcomes directly relate to respecting fundamental human rights conventions, particularly economic and social rights.",Yes,"The post details Patrick Duroseau's work with Soles4Souls, supported by Under Armour, to 'scale impact across global communities' and distribute shoes 'domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic.' This clearly reflects the company's commitment to being a good citizen and making an impact in various communities.",No,"While the post mentions 'shoes and clothing,' it does not discuss the quality, health and safety, integrity, or data privacy aspects of Under Armour's commercial products.",No,"Patrick Duroseau is an Executive Board member for Soles4Souls, guiding *their* strategy and financial oversight. This does not provide evidence of Under Armour's corporate governance principles or management effectiveness.",No,There is no evidence regarding the treatment of shareholders or anti-takeover devices.,Yes,"The post communicates Under Armour's belief in 'showing up for others' and its policy of '40 hours of annual paid #volunteer time,' demonstrating how the company integrates social dimensions into its day-to-day decision-making processes and communicates its CSR strategy."
Under Armour,2025-08-14T14:14:48.452Z,https://www.linkedin.com/posts/under-armour_tini-stoessel-joins-under-armour-championing-activity-7361762221158199296-kSS_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Tini Stoessel Joins Under Armour, Championing a New Era of Performance and Self-Expression 

Argentinian pop sensation Tini is UA’s newest brand #ambassador, bringing her signature blend of strength, authenticity, and style to the forefront of #sport and #culture. 

With a fanbase that spans continents, Tini represents a new generation of #athletes. She will headline both regional and global campaigns, co-creating digital storytelling, live activations, and wellness-driven initiatives.  

https://lnkd.in/eB9mqVgM",No,No,No,Yes,No,"The post announces a brand ambassador partnership and does not contain any information about the company's resource consumption, material use, energy efficiency, or water management.",No,There is no mention of Under Armour's commitment or effectiveness in reducing environmental emissions from its production or operational processes.,No,"The post focuses on a brand ambassadorship and marketing initiatives, not on new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",No,"The post discusses a celebrity ambassador, not Under Armour's internal workforce, job satisfaction, workplace safety, diversity, or development opportunities for its employees.",No,There is no explicit mention of fundamental human rights conventions or the company's effectiveness in respecting them.,No,"While 'wellness-driven initiatives' are mentioned, the context is a brand ambassadorship and marketing campaigns. It does not explicitly demonstrate the company's commitment to being a good citizen, protecting public health, or respecting business ethics in a broader community sense beyond brand promotion.",No,"The post highlights 'performance and self-expression' but does not discuss product quality, customer health and safety, integrity, or data privacy related to Under Armour's goods and services.",No,"The post does not provide information about Under Armour's corporate governance principles, management effectiveness, or board structures.",No,There is no evidence in the post regarding the equal treatment of shareholders or the use of anti-takeover devices.,No,"The post is a marketing announcement about a new brand ambassador and associated campaigns. It does not communicate how Under Armour integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on strategic CSR decisions or performance measures."
Under Armour,2025-06-12T13:30:44.016Z,https://www.linkedin.com/posts/under-armour_lifeatua-fertilitybenefits-employeesupport-activity-7338920694056951809-NuDI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"We believe that supporting our Under Armour teammates means showing up for every chapter of their lives—including the journey to parenthood.
 
When teammate Crystal Sherrod first discussed UA’s fertility benefits, it was through heartfelt conversations with her teammates who had walked the same path. That sense of community and shared experience is what makes our culture so special. 
 
Through our medical plan, U.S. based teammates have access to a flexible and comprehensive benefit that includes:
🩺 Covered initial consultations and diagnostic testing
🏥 Access to a wide network of clinics
🎯 Point-based system for personalized treatment paths, including the option to begin with IVF
🤝 Dedicated point of contact to help navigate the process
 
For Crystal, this benefit wasn’t just helpful—it was life-changing. After 17 years at UA and welcoming a child through her IVF journey, she described the support as ""the best bonus UA has ever given me!"" From generous parental leave to leadership that understands the time and emotional investment fertility treatment requires, UA’s commitment to employee well-being goes far beyond the workplace.
 
#LifeAtUA #FertilityBenefits #EmployeeSupport #WorkplaceWellbeing #UnderArmourMakesYouBetter",No,Yes,Yes,No,No,"The post focuses on employee benefits and well-being, not on the company's use of materials, energy, or water, nor on supply chain management for eco-efficiency.",No,"The content is entirely about employee support and benefits, with no discussion of environmental emissions or reduction efforts.",No,"The post describes an employee benefit program, not innovation related to environmental technologies, eco-designed products, or reducing environmental burdens for customers.",Yes,"The post directly addresses 'supporting our Under Armour teammates,' detailing comprehensive fertility benefits, parental leave, and a commitment to 'employee well-being.' This explicitly relates to providing job satisfaction, a healthy workplace, and development opportunities for its workforce by supporting significant life events.",No,"The post details employee benefits, which are distinct from explicit discussions of fundamental human rights conventions or their respect within the company's operations or supply chain.",No,"The 'sense of community' mentioned refers to the internal community among teammates, not the company's broader commitment to external public health, business ethics, or being a good citizen in the wider community.",No,"The post is about internal employee benefits, not the quality, safety, integrity, or data privacy aspects of Under Armour's products or services for customers.",No,"The post focuses on employee benefits and support, not on corporate governance principles, management effectiveness, or board structures.",No,There is no information in the post regarding shareholder treatment or anti-takeover devices.,Yes,"The post communicates Under Armour's strategic decision to offer comprehensive fertility benefits and parental leave as part of its commitment to 'employee well-being,' explicitly stating it 'goes far beyond the workplace.' This demonstrates the company's integration of social dimensions into its day-to-day decision-making and its communication of these practices, aligning with its broader CSR strategy."
Under Armour,2025-04-04T15:57:33.754Z,https://www.linkedin.com/posts/under-armour_shari-manning-on-volunteering-with-team-rubicon-activity-7313952882049892352-UpqS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEEwhR8BmoWSRVBrwSVy1xrDQ-w28beKGSw,"At Under Armour, we believe in the importance of making a difference in the communities where we live and work. To support our teammates in being a force for good, we are proud to offer 40 hours of annual paid volunteer time. This benefit provides our team the opportunity to support the causes they are passionate about, whether it's coaching youth, participating in environmental clean-ups, or helping local nonprofits.
 
This Volunteer Month, we're proud to celebrate the incredible efforts of our team members who dedicate their time and skills to make a difference and highlight one teammate who used her volunteer hours to make an #impact. 
 
Shari Manning supported our longstanding partner Team Rubicon in their relief efforts in Georgia following Hurricane Helene. She knew this was an opportunity to help uplift a community in need and she encourages other teammates to get involved.

#lifeatua #volunteermonth #fightontogether",No,Yes,Yes,No,No,"The post mentions ""environmental clean-ups"" as a volunteer activity, but it does not explicitly discuss the company's performance or capacity to reduce its own use of materials, energy, or water, or improve supply chain management.",No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production and operational processes.,No,"The post does not discuss new environmental technologies, eco-designed products, or the company's capacity to reduce environmental costs for its customers.",Yes,"The company offers ""40 hours of annual paid volunteer time"" as a benefit to its ""teammates,"" which directly relates to providing job satisfaction and development opportunities for its workforce by enabling them to support causes they are passionate about.",No,There is no explicit mention of the company's effectiveness in terms of respecting fundamental human rights conventions.,Yes,"The post explicitly states the company's belief ""in the importance of making a difference in the communities where we live and work"" and highlights volunteer efforts, including disaster relief, to ""uplift a community in need"" and support ""local nonprofits,"" demonstrating a commitment to being a good citizen and community engagement.",No,"The post does not discuss the company's capacity to produce quality goods and services, or integrate customer health and safety, integrity, and data privacy.",No,The post does not discuss corporate governance principles or the effectiveness of management in following best practices.,No,There is no evidence regarding the equal treatment of shareholders or the use of anti-takeover devices.,Yes,"The post communicates Under Armour's practice of integrating social dimensions into its operations by offering paid volunteer time and highlighting its ""Volunteer Month"" and the ""impact"" of its teammates, which reflects its CSR strategy and communication of its commitment to social responsibility."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_storelaunch-newstore-travelessentials-activity-7373651280667414529-9WF6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"✨ Exciting News! Our New Store Has Arrived in Malda! ✨

We are thrilled to announce the grand opening of our latest store at PRM Centre Point Mall, Malda, West Bengal. 🎉

Discover a wide range of high-quality luggage and travel accessories that combine durability, style, and innovation — designed to accompany you on every journey.

📍 Location: PRM Centre Point Mall, Malda, West Bengal
🛍️ Visit us today and elevate your travel experience with our exclusive collections.

Let your next adventure begin here! 🚀✈️

hashtag#StoreLaunch hashtag#NewStore hashtag#TravelEssentials hashtag#Luggage hashtag#RetailExpansion hashtag#WestBengal hashtag#ShoppingExperience hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel

Nrupal Mehta Akassh Mittal Anaysha Choudhury
",No,No,No,Yes,No,"The post announces a new store opening and product offerings. It does not contain explicit information about reducing the use of materials, energy, or water, nor does it mention eco-efficient solutions or supply chain management practices.",No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,No,"While the post mentions 'innovation' in product design, it does not explicitly link this innovation to reducing environmental costs or burdens for customers, new environmental technologies, processes, or eco-designed products.",No,"The post focuses on a retail expansion and product sales, without any explicit information regarding job satisfaction, workplace safety, diversity, equal opportunities, or development opportunities for the company's workforce.",No,There is no mention of the company's effectiveness in terms of respecting fundamental human rights conventions.,No,"The post announces a store opening in a specific location but does not provide evidence of the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the community context.",No,"The post mentions 'high-quality luggage and travel accessories' and 'durability,' but it does not explicitly discuss the integration of customer health and safety, product integrity, or data privacy in its goods and services.",No,The post is a commercial announcement and does not contain information about the company's corporate governance principles or management effectiveness.,No,There is no evidence in the post regarding the treatment of shareholders or the use of anti-takeover devices.,No,"The post is a promotional announcement for a new store and does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes, nor does it report on strategic CSR decisions or performance measures."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_badmintontournament-teamspirit-funatwork-activity-7348591245344018432-Muq6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏸 Smashing Success at Our Badminton Tournament – 5th July 2025! 🏆

What a fantastic day it was as our teams battled it out on the court during our Inter-Department Badminton Tournament held on 5th July 2025! The energy, excitement, and enthusiasm were unmatched.

From powerful smashes to strategic drop shots, every match showcased amazing talent, sportsmanship, and team bonding. 💥💪

👏 A big round of applause to all the winners and participants who made the tournament a grand success — your spirit truly defines what it means to be a team!

Here’s to more such vibrant moments that bring us together beyond our workstations. 🥳

hashtag#BadmintonTournament hashtag#TeamSpirit hashtag#FunAtWork hashtag#EmployeeEngagement hashtag#SportsDay hashtag#LifeAtSafari hashtag#July2025 hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post describes an internal badminton tournament and does not mention the use of materials, energy, water, or improvements in supply chain management.",No,"There is no mention of reducing environmental emissions, carbon footprint, or operational processes.",No,"The post focuses on an employee event, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",Yes,"The post explicitly highlights 'team bonding,' 'FunAtWork,' and 'EmployeeEngagement' through an 'Inter-Department Badminton Tournament.' This directly relates to fostering job satisfaction, a healthy workplace culture, and development opportunities for the workforce by bringing employees together 'beyond our workstations'.",No,There is no mention of fundamental human rights conventions or their respect within the company's operations or supply chain.,No,"The event described is an internal 'Inter-Department' tournament for employees, not an initiative directed at the external community, public health, or broader business ethics.",No,"The post is about an internal employee event and does not discuss the quality, safety, integrity, or data privacy of the company's products or services.",No,"The post focuses on an employee engagement event and does not provide evidence regarding corporate governance principles, board structures, or executive management effectiveness.",No,"There is no mention of shareholder treatment, rights, or anti-takeover devices.",No,"While the event contributes to social well-being, the post itself is a celebratory announcement of an internal event and does not explicitly communicate the company's overall strategy for integrating economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR measures."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_safariindustries-travelsentryawards-awardwinningdesign-activity-7343949679866347521-KNoG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏆 Double Win for Safari! 🏆

We’re proud to share that we have been recognized with two prestigious awards at the Travel Sentry Product Awards 2025! ✈️🎉

This global recognition celebrates our dedication to design excellence, travel security, and customer-centric innovation in the luggage industry.

🔹 Award 1: [Phoenix LT - Soft Luggage https://lnkd.in/dsCZfkz5]
🔹 Award 2: [Caliber - Hard Luggage https://lnkd.in/dtTdKyC6 ]

These accolades are a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft. A heartfelt thank you to our customers, partners, and the entire Safari family for being part of this incredible journey.

Here's to setting new benchmarks in travel gear! 🌍🧳
hashtag#SafariIndustries hashtag#TravelSentryAwards hashtag#AwardWinningDesign hashtag#InnovationInTravel hashtag#ProudMoment hashtag#LuggageThatLeads hashtag#MadeForTheWorld hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post focuses on product awards and design excellence, with no explicit mention of reducing the use of materials, energy, or water, or improving supply chain eco-efficiency.",No,There is no mention of commitment or effectiveness towards reducing environmental emissions in production or operational processes.,No,"While the post mentions 'customer-centric innovation' and 'Innovation in Travel,' the definition of this subcategory specifically refers to environmental innovation (reducing environmental costs for customers, new environmental technologies, or eco-designed products), which is not explicitly present here.",Yes,"The post explicitly thanks 'our team’s passion, precision, and pursuit of perfection' and 'the entire Safari family,' acknowledging the significant contribution and quality of their workforce, which relates to job satisfaction and the value placed on employees.",No,There is no mention of respecting fundamental human rights conventions.,No,"The post is about product awards and internal team recognition, not about being a good citizen, protecting public health, or respecting business ethics in a broader community context.",Yes,"The post highlights 'design excellence, travel security, and customer-centric innovation.' 'Travel security' directly relates to integrating customer health and safety into the product, and 'customer-centric innovation' implies a focus on producing quality goods that meet customer needs and expectations.",No,The post does not discuss corporate governance principles or the effectiveness of management in following best practices.,No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,No,"The post is a celebratory announcement of product awards and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR measures."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_internationalyogaday-wellnessatwork-employeewellbeing-activity-7342823913841688576-_owi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Today, our team came together to embrace the spirit of balance, mindfulness, and well-being through a rejuvenating yoga session at the workplace.

From ""Surya Namaskar"" to ""Deep Breathing"", our employees took a mindful pause from their busy routines to prioritize health — both physical and mental.

At Safari, we believe wellness is not just a practice, but a culture. A huge thank you to everyone who participated and brought such positive energy to the day! 🌿✨

Here’s to staying healthy, centered, and connected — on and off the mat. hashtag#InternationalYogaDay hashtag#WellnessAtWork hashtag#EmployeeWellbeing hashtag#HealthyWorkplace hashtag#YogaForLife hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post focuses on an internal employee wellness event and does not mention the use of materials, energy, water, or supply chain management practices.",No,There is no discussion about reducing environmental emissions from production or operational processes.,No,"The post describes an employee wellness activity, not new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",Yes,"The post explicitly highlights an initiative for 'employee wellbeing' and a 'healthy workplace' through a yoga session, emphasizing physical and mental health for 'our employees' and 'our team'. This directly aligns with providing a healthy and safe workplace and contributing to job satisfaction.",No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,No,"The post describes an internal company event for employees, not broader community engagement, public health initiatives (outside of the workforce), or business ethics in a societal context.",No,"The post does not discuss the quality, health and safety, integrity, or data privacy aspects of Safari's products (luggage, backpacks).",No,"The content does not address corporate governance principles, board structures, or management effectiveness in that regard.",No,There is no evidence regarding the treatment of shareholders or anti-takeover devices.,No,"While the post reflects a company value ('wellness is not just a practice, but a culture'), it describes a specific internal event rather than communicating how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or reporting on its overall CSR strategy."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_design-tour-mumbai-activity-7323941240046010368-J9yn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Empowering Creativity through Collaboration!
It was energizing to see such enthusiastic participation, diverse perspectives, and creative approach come together in one space.

A big shoutout to Nazuk Keshan for turning this workshop into a masterclass in design thinking.

Kudos to Parul University for fostering such a passionate and creative student Community!!

hashtag#designtour hashtag#designworkshop hashtag#industrialvisit hashtag#Safaribags hashtag#Safari hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post describes a design workshop and collaboration, with no explicit mention of material, energy, or water use reduction, or eco-efficient supply chain management.",No,"There is no mention of environmental emissions, reduction commitments, or operational processes related to emissions.",No,"While the post highlights 'creativity' and 'design thinking,' it does not explicitly link these to reducing environmental costs for customers, new environmental technologies, or eco-designed products as per the definition.",No,"The post refers to participation in a workshop and a 'student Community,' not the company's own workforce in terms of job satisfaction, health, safety, diversity, or development opportunities for its employees.",No,There is no mention of fundamental human rights conventions or their respect within the company's operations or supply chain.,Yes,"The post explicitly gives 'Kudos to Parul University for fostering such a passionate and creative student Community!!' and describes an 'industrial visit' and 'design workshop.' This demonstrates the company's engagement with and support for an educational institution and its student community, aligning with being a good citizen and respecting business ethics through community involvement.",No,"The post mentions 'Safaribags' and 'luggage' but does not discuss product quality, customer health and safety, integrity, or data privacy related to these products.",No,"The content focuses on a workshop and collaboration, not on corporate governance principles, management structures, or executive oversight.",No,"There is no evidence regarding the treatment of shareholders, shareholder rights, or anti-takeover devices.",Yes,"The post describes an activity ('design workshop,' 'industrial visit') involving collaboration with a university and fostering a student community. This engagement can be seen as a practice that integrates social dimensions into the company's activities, reflecting a broader CSR strategy to support education and community development."
