Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Resource_Use_confidence,Emissions_active,Emissions_reasoning,Emissions_confidence,Innovation_active,Innovation_reasoning,Innovation_confidence,Workforce_active,Workforce_reasoning,Workforce_confidence,Human_Rights_active,Human_Rights_reasoning,Human_Rights_confidence,Community_active,Community_reasoning,Community_confidence,Product_Responsibility_active,Product_Responsibility_reasoning,Product_Responsibility_confidence,Management_active,Management_reasoning,Management_confidence,Shareholders_active,Shareholders_reasoning,Shareholders_confidence,CSR_Strategy_active,CSR_Strategy_reasoning,CSR_Strategy_confidence
Under Armour,2025-11-02T19:20:41.506Z,https://www.linkedin.com/posts/under-armour_shop-the-shoes-that-got-sharon-lokedi-over-activity-7390830228694249472-jY8k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Since her breakout win at the 2022 NYC Marathon, Lokedi has podiumed in four of her six marathons, but 2025 stands apart as her most impressive year yet. For this run, she trusted Under Armour’s UA Velociti Elite 3, the brand’s most advanced marathon race shoe engineered for speed, stability, and endurance, and the same model that powered her Boston Marathon victory. 

Now available on UA.com and in select run specialty stores, the Velociti Elite 3 continues to deliver when it matters most.

https://lnkd.in/dndqHcw",No,No,No,Yes,No,"The post focuses on an athlete's performance and a specific shoe model's features (speed, stability, endurance). It does not contain any explicit information about the reduction of materials, energy, or water use, nor does it discuss eco-efficient solutions or supply chain management from an environmental perspective.",1,No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,1,No,"While the shoe is described as 'most advanced' and 'engineered for speed, stability, and endurance,' this refers to product performance innovation, not innovation related to reducing environmental costs, new environmental technologies, or eco-designed products.",0.95,No,"The post is about an athlete and a product, not about Under Armour's workforce, job satisfaction, workplace safety, diversity, or development opportunities for its employees.",1,No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,1,No,"The post does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics within a community context.",1,No,"While the post highlights the shoe's quality and performance ('engineered for speed, stability, and endurance'), it does not explicitly discuss the integration of customer health and safety, product integrity beyond performance, or data privacy, which are key aspects of this subcategory's definition.",0.9,No,The post does not contain any information regarding the company's corporate governance principles or management effectiveness.,1,No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,1,No,"The post is a product promotion and athlete endorsement; it does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR measures.",0.95
Under Armour,2025-09-22T15:33:23.394Z,https://www.linkedin.com/posts/under-armour_patrick-duroseau-on-making-an-impact-with-activity-7375915123816763393-ulHC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"At Under Armour, we believe in showing up for others and Patrick Duroseau is doing just that through his work with Soles4Souls, a nonprofit that turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use – providing relief, creating jobs and empowering people to break the cycle of poverty.

As a longtime volunteer and current Executive Board member, Patrick helps guide Soles4Souls’ strategy, strengthen financial oversight, and scale impact across global communities. From distributing shoes domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic, he’s seen firsthand how something as simple as a pair of shoes can restore dignity, unlock education, and create economic opportunity.

His leadership reminds teammates that giving back isn’t just a gesture, it’s a mindset. He encourages his teammates to adopt this thinking and fully leverage Under Armour’s 40 hours of annual paid #volunteer time. Making an impact in the community fuels connection, purpose, and growth for everyone involved.

#LifeatUA #FightonTogether",Yes,Yes,Yes,No,Yes,"The post explicitly states that Soles4Souls 'turns unwanted shoes and clothing into opportunity, by keeping them from going to waste,' which directly relates to reducing the use of materials and finding more eco-efficient solutions by reusing items.",0.9,No,"The post does not contain any explicit information about reducing environmental emissions, carbon footprint, or operational processes.",1,No,"The post focuses on social impact and volunteerism, not on new environmental technologies, eco-designed products, or processes to reduce environmental costs for customers.",1,Yes,"The post explicitly mentions Under Armour's policy of '40 hours of annual paid #volunteer time' for its 'teammates,' indicating a company commitment to employee development, engagement, and potentially job satisfaction through community involvement.",0.9,Yes,"The post highlights Soles4Souls' work in 'empowering people to break the cycle of poverty,' 'restore dignity, unlock education, and create economic opportunity,' which directly relates to respecting fundamental human rights conventions by addressing basic needs and opportunities.",0.9,Yes,"The entire post is centered around Under Armour's support for Patrick Duroseau's work with Soles4Souls, which aims to provide relief, create jobs, and empower people in 'global communities' and specific locations like Baltimore, Atlanta, Haiti, Honduras, and the Dominican Republic. This clearly demonstrates a commitment to being a good citizen and protecting public interests.",1,No,"The post discusses the repurposing of unwanted shoes and clothing by a non-profit, but it does not address Under Armour's capacity to produce quality goods and services, integrate customer health and safety, integrity, or data privacy.",1,Yes,"The post mentions Patrick Duroseau's role as an 'Executive Board member' for Soles4Souls, where he helps 'guide Soles4Souls’ strategy, strengthen financial oversight.' This explicitly refers to following best practice corporate governance principles within the non-profit, which Under Armour is highlighting through its employee's involvement.",0.8,No,There is no evidence in the post regarding the equal treatment of shareholders or the use of anti-takeover devices.,1,Yes,"The post explicitly states Under Armour's belief in 'showing up for others' and highlights its policy of '40 hours of annual paid #volunteer time' for teammates, demonstrating how the company integrates social dimensions into its day-to-day decision-making processes and communicates its commitment to CSR.",0.95
Under Armour,2025-08-14T14:14:48.452Z,https://www.linkedin.com/posts/under-armour_tini-stoessel-joins-under-armour-championing-activity-7361762221158199296-kSS_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Tini Stoessel Joins Under Armour, Championing a New Era of Performance and Self-Expression 

Argentinian pop sensation Tini is UA’s newest brand #ambassador, bringing her signature blend of strength, authenticity, and style to the forefront of #sport and #culture. 

With a fanbase that spans continents, Tini represents a new generation of #athletes. She will headline both regional and global campaigns, co-creating digital storytelling, live activations, and wellness-driven initiatives.  

https://lnkd.in/eB9mqVgM",No,Yes,Yes,No,No,"The post focuses on a brand ambassador partnership and marketing initiatives, with no explicit mention of material, energy, or water usage, or improvements in supply chain management.",1,No,There is no discussion about reducing environmental emissions from production or operational processes.,1,No,"The post describes a marketing partnership and initiatives, not new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",1,No,"The content is about an external brand ambassador, not Under Armour's internal workforce, job satisfaction, safety, diversity, or development opportunities for its employees.",1,No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,1,Yes,"The post explicitly mentions 'wellness-driven initiatives' as part of the ambassador's role. These initiatives are likely aimed at promoting public health and well-being within the community, reflecting the company's commitment to being a good citizen.",0.85,No,"While 'performance' is mentioned, the post does not explicitly discuss product quality, customer health and safety, integrity, or data privacy related to Under Armour's goods and services.",0.9,No,"The post does not address corporate governance principles, board structures, or management effectiveness in following best practices.",1,No,There is no evidence regarding the equal treatment of shareholders or the use of anti-takeover devices.,1,Yes,"The announcement of a high-profile brand ambassador and her role in 'co-creating digital storytelling, live activations, and wellness-driven initiatives' reflects a strategic decision by Under Armour to integrate social and cultural dimensions into its brand communication and engagement, aligning with its broader CSR strategy.",0.9
Under Armour,2025-06-12T13:30:44.016Z,https://www.linkedin.com/posts/under-armour_lifeatua-fertilitybenefits-employeesupport-activity-7338920694056951809-NuDI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"We believe that supporting our Under Armour teammates means showing up for every chapter of their lives—including the journey to parenthood.
 
When teammate Crystal Sherrod first discussed UA’s fertility benefits, it was through heartfelt conversations with her teammates who had walked the same path. That sense of community and shared experience is what makes our culture so special. 
 
Through our medical plan, U.S. based teammates have access to a flexible and comprehensive benefit that includes:
🩺 Covered initial consultations and diagnostic testing
🏥 Access to a wide network of clinics
🎯 Point-based system for personalized treatment paths, including the option to begin with IVF
🤝 Dedicated point of contact to help navigate the process
 
For Crystal, this benefit wasn’t just helpful—it was life-changing. After 17 years at UA and welcoming a child through her IVF journey, she described the support as ""the best bonus UA has ever given me!"" From generous parental leave to leadership that understands the time and emotional investment fertility treatment requires, UA’s commitment to employee well-being goes far beyond the workplace.
 
#LifeAtUA #FertilityBenefits #EmployeeSupport #WorkplaceWellbeing #UnderArmourMakesYouBetter",No,Yes,Yes,No,No,"The post focuses on employee benefits and well-being, with no mention of material, energy, or water use reduction, or improvements in supply chain management.",1,No,There is no discussion about reducing environmental emissions from production or operational processes.,1,No,"The content describes employee benefits, not new environmental technologies, eco-designed products, or solutions that reduce environmental costs for customers.",1,Yes,"The entire post is dedicated to Under Armour's support for its 'teammates' through comprehensive fertility benefits and parental leave, directly addressing employee well-being, job satisfaction, and support for life events, which falls under providing a healthy workplace and development opportunities.",1,No,"While access to healthcare can be broadly linked to human rights, the post frames the fertility benefits as an internal employee perk and does not explicitly discuss adherence to fundamental human rights conventions or broader human rights policies.",0.85,No,"The 'sense of community' mentioned refers to internal support among teammates, not the company's commitment to external public health, local communities, or business ethics in a broader societal context.",0.9,No,"The post does not discuss the quality, safety, integrity, or data privacy aspects of Under Armour's products or services for customers.",1,No,"The post highlights leadership's understanding and commitment to employee well-being but does not explicitly detail corporate governance principles, board structure, or executive oversight practices.",0.9,No,There is no information provided regarding the equal treatment of shareholders or the use of anti-takeover devices.,1,Yes,"The post explicitly communicates Under Armour's 'commitment to employee well-being' and details specific benefits (fertility, parental leave) as part of its broader support for teammates. This demonstrates how the company integrates social dimensions into its decision-making and communicates its CSR practices, reinforced by hashtags like #EmployeeSupport and #WorkplaceWellbeing.",0.95
Under Armour,2025-04-04T15:57:33.754Z,https://www.linkedin.com/posts/under-armour_shari-manning-on-volunteering-with-team-rubicon-activity-7313952882049892352-UpqS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEEwhR8BmoWSRVBrwSVy1xrDQ-w28beKGSw,"At Under Armour, we believe in the importance of making a difference in the communities where we live and work. To support our teammates in being a force for good, we are proud to offer 40 hours of annual paid volunteer time. This benefit provides our team the opportunity to support the causes they are passionate about, whether it's coaching youth, participating in environmental clean-ups, or helping local nonprofits.
 
This Volunteer Month, we're proud to celebrate the incredible efforts of our team members who dedicate their time and skills to make a difference and highlight one teammate who used her volunteer hours to make an #impact. 
 
Shari Manning supported our longstanding partner Team Rubicon in their relief efforts in Georgia following Hurricane Helene. She knew this was an opportunity to help uplift a community in need and she encourages other teammates to get involved.

#lifeatua #volunteermonth #fightontogether",No,Yes,No,No,No,"The post focuses on employee volunteerism and community support, not the company's direct performance in reducing material, energy, or water use, or improving supply chain eco-efficiency. While 'environmental clean-ups' are mentioned as a type of volunteer activity, this is not about the company's operational resource use.",1,No,There is no mention of the company's commitment or effectiveness in reducing environmental emissions from its production or operational processes.,1,No,"The post does not discuss new environmental technologies, eco-designed products, or the company's capacity to reduce environmental costs for its customers.",1,Yes,The provision of '40 hours of annual paid volunteer time' is a company benefit offered to 'teammates' to support their passions and make an impact. This directly relates to providing development opportunities and contributing to job satisfaction for the workforce.,0.9,No,"The post discusses community support and disaster relief, but it does not explicitly address fundamental human rights conventions or the company's effectiveness in respecting them.",1,Yes,"The entire post emphasizes 'making a difference in the communities where we live and work,' supporting 'local nonprofits,' and highlighting a teammate's involvement in 'relief efforts in Georgia following Hurricane Helene' to 'uplift a community in need.' This directly aligns with the definition of a company's commitment to being a good citizen and protecting public health/interests.",1,No,"The post does not discuss the quality, safety, integrity, or data privacy aspects of Under Armour's products or services.",1,No,"The post focuses on a volunteer program and community engagement, not on corporate governance principles, board structures, or executive management effectiveness.",1,No,"There is no mention of shareholder treatment, rights, or anti-takeover devices.",1,Yes,"The '40 hours of annual paid volunteer time' is a company-wide benefit and program designed to enable employees to contribute to social and environmental causes. This demonstrates a strategic practice by Under Armour to integrate social dimensions into its operations and communicate its commitment to being a 'force for good,' aligning with the definition of CSR strategy and reporting.",0.95
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_storelaunch-newstore-travelessentials-activity-7373651280667414529-9WF6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"✨ Exciting News! Our New Store Has Arrived in Malda! ✨

We are thrilled to announce the grand opening of our latest store at PRM Centre Point Mall, Malda, West Bengal. 🎉

Discover a wide range of high-quality luggage and travel accessories that combine durability, style, and innovation — designed to accompany you on every journey.

📍 Location: PRM Centre Point Mall, Malda, West Bengal
🛍️ Visit us today and elevate your travel experience with our exclusive collections.

Let your next adventure begin here! 🚀✈️

hashtag#StoreLaunch hashtag#NewStore hashtag#TravelEssentials hashtag#Luggage hashtag#RetailExpansion hashtag#WestBengal hashtag#ShoppingExperience hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel

Nrupal Mehta Akassh Mittal Anaysha Choudhury
",No,No,No,Yes,No,"The post announces a new store opening and product offerings, but does not mention any efforts related to reducing material, energy, or water use, or improving eco-efficient supply chain management.",1,No,There is no mention of the company's commitment or effectiveness in reducing environmental emissions from its production or operational processes.,1,No,"While the post mentions 'innovation' in product design, it does not explicitly link this innovation to reducing environmental costs for customers, new environmental technologies, processes, or eco-designed products.",0.9,No,"The post focuses on the retail expansion and products, with no explicit information about job satisfaction, workplace safety, diversity, or development opportunities for the workforce.",1,No,There is no mention of the company's effectiveness in respecting fundamental human rights conventions.,1,No,"The post announces a new store location but does not provide explicit evidence of the company's commitment to being a good citizen, protecting public health, or respecting business ethics within the community.",0.95,No,"While 'high-quality' and 'durability' are mentioned for the products, the post does not explicitly discuss the integration of customer health and safety, integrity, or data privacy into product design or service delivery.",0.9,No,The post is a commercial announcement and does not contain any information regarding corporate governance principles or management effectiveness in this regard.,1,No,There is no evidence in the post regarding the treatment of shareholders or the use of anti-takeover devices.,1,No,"The post is a promotional announcement for a new store and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR strategies.",0.9
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_badmintontournament-teamspirit-funatwork-activity-7348591245344018432-Muq6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏸 Smashing Success at Our Badminton Tournament – 5th July 2025! 🏆

What a fantastic day it was as our teams battled it out on the court during our Inter-Department Badminton Tournament held on 5th July 2025! The energy, excitement, and enthusiasm were unmatched.

From powerful smashes to strategic drop shots, every match showcased amazing talent, sportsmanship, and team bonding. 💥💪

👏 A big round of applause to all the winners and participants who made the tournament a grand success — your spirit truly defines what it means to be a team!

Here’s to more such vibrant moments that bring us together beyond our workstations. 🥳

hashtag#BadmintonTournament hashtag#TeamSpirit hashtag#FunAtWork hashtag#EmployeeEngagement hashtag#SportsDay hashtag#LifeAtSafari hashtag#July2025 hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post describes an internal company sports event and does not contain any explicit mention of material, energy, or water use reduction, or improvements in supply chain management.",1,No,There is no mention of commitment or effectiveness towards reducing environmental emissions in production or operational processes.,1,No,"The post focuses on an employee event, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",1,Yes,"The post explicitly describes an 'Inter-Department Badminton Tournament' aimed at fostering 'team bonding,' 'EmployeeEngagement,' and 'FunAtWork,' and mentions 'LifeAtSafari.' This directly reflects a company's effectiveness in providing job satisfaction and development opportunities for its workforce by creating a positive and engaging work environment.",0.95,No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,1,No,"The event described is an internal company activity for employees ('Inter-Department'), not an initiative directed at the external community, public health, or broader business ethics beyond the internal workforce.",0.9,No,"While the company name 'Safari' and product types like 'luggage' and 'Backpack' are mentioned in hashtags, the post does not discuss product quality, customer health and safety, integrity, or data privacy.",1,No,The post focuses on an employee engagement event and does not provide evidence regarding corporate governance principles or management effectiveness in that area.,1,No,"There is no mention of shareholder treatment, equal rights, or anti-takeover devices.",1,No,"While employee engagement is a social aspect, the post does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on its overall CSR strategy.",0.85
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_safariindustries-travelsentryawards-awardwinningdesign-activity-7343949679866347521-KNoG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏆 Double Win for Safari! 🏆

We’re proud to share that we have been recognized with two prestigious awards at the Travel Sentry Product Awards 2025! ✈️🎉

This global recognition celebrates our dedication to design excellence, travel security, and customer-centric innovation in the luggage industry.

🔹 Award 1: [Phoenix LT - Soft Luggage https://lnkd.in/dsCZfkz5]
🔹 Award 2: [Caliber - Hard Luggage https://lnkd.in/dtTdKyC6 ]

These accolades are a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft. A heartfelt thank you to our customers, partners, and the entire Safari family for being part of this incredible journey.

Here's to setting new benchmarks in travel gear! 🌍🧳
hashtag#SafariIndustries hashtag#TravelSentryAwards hashtag#AwardWinningDesign hashtag#InnovationInTravel hashtag#ProudMoment hashtag#LuggageThatLeads hashtag#MadeForTheWorld hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post celebrates product awards for luggage and does not contain any explicit mention of reducing the use of materials, energy, water, or improving supply chain eco-efficiency.",1,No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,1,No,"While the post mentions 'customer-centric innovation' and 'InnovationInTravel', this is framed around design excellence and travel security, not specifically environmental technologies, eco-designed products, or reducing environmental costs/burdens for customers as per the LSEG definition.",0.9,Yes,"The post explicitly states that the accolades are 'a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft,' and thanks 'the entire Safari family.' This highlights the positive attributes and dedication of the workforce, implying job satisfaction and a strong work culture, which aligns with workforce effectiveness.",0.9,No,There is no explicit evidence in the post regarding the company's effectiveness in respecting fundamental human rights conventions.,1,No,"The post focuses on product awards and team achievement, without mentioning the company's commitment to being a good citizen, protecting public health, or respecting business ethics in a broader community context.",1,Yes,"The post highlights that the awards celebrate 'design excellence, travel security, and customer-centric innovation.' 'Travel security' directly relates to the product's capacity to ensure the safety of customer belongings, and 'design excellence' implies the production of quality goods, both of which are key aspects of product responsibility.",0.95,No,"The post does not discuss corporate governance principles, management structures, or the effectiveness of the company's leadership in following best practices.",1,No,"There is no evidence in the post regarding the treatment of shareholders, equal rights, or anti-takeover devices.",1,No,"The post is a celebratory announcement about product awards and does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR measures.",0.9
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_internationalyogaday-wellnessatwork-employeewellbeing-activity-7342823913841688576-_owi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Today, our team came together to embrace the spirit of balance, mindfulness, and well-being through a rejuvenating yoga session at the workplace.

From ""Surya Namaskar"" to ""Deep Breathing"", our employees took a mindful pause from their busy routines to prioritize health — both physical and mental.

At Safari, we believe wellness is not just a practice, but a culture. A huge thank you to everyone who participated and brought such positive energy to the day! 🌿✨

Here’s to staying healthy, centered, and connected — on and off the mat. hashtag#InternationalYogaDay hashtag#WellnessAtWork hashtag#EmployeeWellbeing hashtag#HealthyWorkplace hashtag#YogaForLife hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post focuses on employee well-being and does not contain any explicit information about the company's performance or capacity to reduce the use of materials, energy, or water, or to improve supply chain management.",1,No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,1,No,"The post describes an internal wellness activity and does not discuss new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",1,Yes,"The post explicitly highlights a yoga session at the workplace for employees to 'prioritize health — both physical and mental' and states 'wellness is not just a practice, but a culture.' This directly reflects the company's effectiveness in providing a healthy and safe workplace and contributing to job satisfaction for its workforce.",1,No,The post does not contain any explicit evidence regarding the company's effectiveness in respecting fundamental human rights conventions.,1,No,"The yoga session is an internal employee event. There is no explicit mention of the company's commitment to being a good citizen, protecting public health (beyond its own employees), or respecting business ethics in a broader community context.",0.9,No,"While the company name 'Safari' and product hashtags like 'luggage' and 'Backpack' are present, the post does not discuss the company's capacity to produce quality goods and services, integrate customer health and safety, integrity, or data privacy related to its products.",1,No,The post focuses on an employee activity and does not provide information about the company's commitment or effectiveness towards following best practice corporate governance principles.,1,No,There is no evidence in the post regarding the company's effectiveness towards equal treatment of shareholders or the use of anti-takeover devices.,1,No,"While the post describes a social initiative, it does not explicitly communicate that the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes, nor does it report on strategic CSR decisions or performance measures.",0.9
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_design-tour-mumbai-activity-7323941240046010368-J9yn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Empowering Creativity through Collaboration!
It was energizing to see such enthusiastic participation, diverse perspectives, and creative approach come together in one space.

A big shoutout to Nazuk Keshan for turning this workshop into a masterclass in design thinking.

Kudos to Parul University for fostering such a passionate and creative student Community!!

hashtag#designtour hashtag#designworkshop hashtag#industrialvisit hashtag#Safaribags hashtag#Safari hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"The post focuses on a design workshop and collaboration, with no explicit mention of material, energy, or water usage, or efforts to improve supply chain eco-efficiency.",1,No,There is no discussion about reducing environmental emissions from production or operational processes.,1,No,"While 'design thinking' and 'creative approach' are mentioned, the definition of Innovation specifically refers to reducing environmental costs for customers through new environmental technologies, processes, or eco-designed products, which is not explicitly addressed here.",0.9,No,"The post mentions 'enthusiastic participation' and 'diverse perspectives' in a workshop, and a 'student Community,' but it does not explicitly refer to a company's own workforce in terms of job satisfaction, health/safety, diversity, equal opportunities, or development opportunities for its employees.",0.9,No,There is no mention of fundamental human rights conventions or their respect within the company's operations.,1,Yes,"The post explicitly gives 'Kudos to Parul University for fostering such a passionate and creative student Community!!' This demonstrates a commitment to engaging with and supporting an external community (students), aligning with the definition of being a good citizen and contributing to public interests.",0.95,No,"Although product types like 'Safaribags' are mentioned in hashtags, the main content is about a workshop and design thinking, not about the quality, customer health and safety, integrity, or data privacy of these products.",0.9,No,"The post does not discuss corporate governance principles, board structures, or management effectiveness in that context.",1,No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,1,No,"The post describes a specific workshop event and collaboration, but it does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR strategy or performance measures.",0.85
