Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,Yes,No,No,"The post mentions supply chain expertise in general but does not explicitly discuss materials, energy, water use, or eco-efficient resource management.",No,"There is no reference to environmental pollution, emissions, or emission-reduction measures.",No,"The text does not mention environmental technologies, green processes, or eco-designed products.",No,"While a new executive hire is announced, there is no discussion of employee well-being, safety, fair compensation, diversity, or training opportunities for the broader workforce.",No,"The post does not address human rights policies, labor standards, or supplier auditing related to human rights issues.",No,"There is no mention of philanthropy, community engagement, public health, or business ethics initiatives.",No,"The content does not discuss product quality, safety, integrity, or customer data privacy.",Yes,The announcement of a new Chief Supply Chain Officer and reference to his leadership in driving company strategy are directly related to executive leadership and corporate management structure.,No,"There is no mention of investors, shareholder rights, reporting, or capital market communications.",No,"The post only introduces an executive hire and does not frame this within broader environmental, social, and governance strategy or CSR reporting."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"Although a Supply Chain expert is mentioned, the post does not explicitly discuss materials, energy, water consumption, or eco-efficient resource management; it only refers generally to industrial and supply chain challenges without environmental context.",No,"There is no mention of emissions, pollution, carbon footprint, or any measures to reduce environmental impacts in production or operations.",No,"The word 'innovation' appears in relation to corporate vision and engineering work, but there is no explicit link to environmental technologies, green processes, or eco-designed products aimed at reducing environmental burdens.",Yes,"The post clearly concerns engineers as employees: it discusses their roles, work environment, and a recruitment session where students explore careers, internships, and work-study opportunities at Hermès, which directly relates to workforce and employment topics.",No,"The content does not refer to human rights conventions, avoidance of child or forced labor, or supplier human rights policies.",No,"Interaction with university students is framed as recruitment and talent outreach, not as corporate citizenship, charity, or broader localized social impact initiatives.",No,"While 'quality control' is mentioned as an engineering domain, the post does not explicitly address customer-facing product safety, consumer health, or data privacy responsibilities.",No,"There is no reference to corporate governance structures, executive leadership decisions, or board-level oversight; the focus is on engineers and recruitment, not management practices.",No,"The post does not mention investors, shareholder communication, or mechanisms affecting shareholder rights.",No,"The description of corporate vision and engineering work is not framed as an overarching ESG or CSR strategy, nor does it link environmental, social, and governance dimensions into decision-making; it remains a talent and employer-branding message."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post explicitly mentions using fabric waste as input material and turning it into products, which directly relates to reduced material consumption and more efficient use of resources.",No,"There is no mention of emissions, pollution, or any measures to reduce greenhouse gases or other pollutants.",No,"Although the initiative is described as promoting sustainability, there is no explicit reference to environmental technologies, green process innovation, or eco-designed products beyond basic upcycling.",No,"The women supported are described as local women from low-income families, not as the company’s internal employees or staff; there is no discussion of internal employee conditions, safety, compensation, or development programs.",No,"The post does not reference human rights conventions, avoidance of child or forced labor, or supplier human rights audits, even though it touches on economic empowerment.",Yes,"The initiative is a corporate citizenship activity carried out through the Coats Cares program in partnership with an NGO to support local low-income women, clearly reflecting localized social impact and community empowerment.",No,"While products (tote bags and tablecloths) are mentioned, there is no discussion of product safety, customer health, quality standards, or data privacy.",No,"The post does not refer to corporate governance structures, leadership decisions, or executive compensation.",No,"There is no mention of investors, shareholder value, or investor reporting.",Yes,"The activity is explicitly framed under the named corporate initiative 'Coats Cares' and tagged with #SustainableImpact and #EmpoweringCommunities, indicating an organized CSR program integrating social and environmental aspects into corporate outreach."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions a general focus on sustainability and a LOOP programme but does not explicitly reference materials, energy, water consumption, or eco‑efficient resource or supply chain management, so resource use cannot be clearly inferred.",Yes,"The company explicitly mentions its commitment to the Science Based Targets initiative (SBTi), which is specifically about setting and validating science-based greenhouse gas emissions reduction targets, directly linking the post to emissions management.",No,"Although sustainability and a LOOP programme are mentioned, there is no explicit reference to environmental technologies, green processes, or eco‑designed products aimed at reducing environmental burdens.",No,"The post does not discuss employees, workplace conditions, diversity, training, or any workforce-related topic.",No,"There is no mention of human rights conventions, labor rights policies, or supplier audits related to issues like child or forced labor.",No,"The content focuses on financial performance, strategy, and sustainability commitments, but does not describe corporate citizenship, local community projects, public health, or charity initiatives.",No,"The post does not address product quality, customer health and safety, product integrity, or data privacy.",Yes,"The post announces the publication of the annual report, discusses strategic initiatives and financial performance, and invites readers to hear from the CEO about results and outlook, which relates to corporate management and executive leadership communication.",Yes,"Publication of the annual report with detailed revenue and EBIT performance, along with outlook guidance, is a core element of investor relations and reporting to shareholders, even though shareholders are not explicitly named.",Yes,"The post links overall corporate strategy and outlook with a ‘clear focus on sustainability,’ specifically referencing the LOOP programme and SBTi commitment as part of how the company plans to operate going forward, which reflects CSR strategy integration and communication."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention materials, energy, water consumption, or eco-efficient supply chain/resource input reduction. It focuses on emissions, gender empowerment, employee volunteering, and ESG reporting.",Yes,"The post explicitly states that the company reduced 61.8% in absolute emissions of Scope 3 (2021 baseline), which directly concerns operational/ value-chain emissions reduction.",No,"There is no reference to environmental technologies, green processes, or eco-designed products; the text highlights outcomes (emissions reduction) and governance/strategy rather than specific environmental innovation solutions.",Yes,"The post mentions increased employee volunteerism and frames it as reflecting the team’s dedication, which relates to employee engagement and internal workforce-focused initiatives. While not about safety or pay, it is explicitly about employees and their participation in company programs.",Yes,"The post highlights an increase in the Women’s Empowerment Principles Assessment Score, which is tied to UN Women’s WEPs and reflects commitments to gender equality and women’s empowerment—core human rights topics beyond internal HR benefits.",Yes,"The text notes that employee volunteer hours surged by 58%, explicitly linking this to community engagement, which falls under corporate citizenship and localized social impact activities.",No,"There is no mention of product quality, consumer health and safety, product integrity, or data privacy; the focus is on emissions, gender empowerment, volunteering, and ESG strategy/reporting.",No,"Although the CEO is quoted, the content does not discuss governance structures, executive compensation, board composition, or operational direction details; it is more about purpose and ESG themes than corporate governance mechanics.",No,"The post does not refer to investors, shareholder rights, investor reporting, or capital market communications; it only links to a sustainability highlights report without framing it as shareholder reporting.",Yes,"The post announces the “2024 Corporate Sustainability Highlights Report” and describes “Make Time for Good” as the framework for managing environmental, social, and governance initiatives, explicitly communicating an overarching CSR strategy and its integration into the company’s purpose-driven approach."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post discusses an academic collaboration and a guest lecture about fashion and luxury industry analysis, with no mention of materials, energy, water consumption, or eco-efficient supply chain management.",No,"There is no reference to environmental pollution, emissions, carbon footprint, or reduction measures in production or operations.",No,"While the lecture covers evolution and market shifts in menswear, it does not explicitly address environmental technologies, green processes, or eco-designed products.",No,"The content focuses on students and an educational partnership, not on the company’s internal employees, workplace conditions, compensation, diversity, or training policies for its own workforce.",No,"The post does not mention human rights conventions, labor rights, or supplier auditing topics such as child or forced labor.",No,"The collaboration is with a business school for educational purposes, but there is no explicit mention of corporate citizenship, local community charity, public health, or broader social impact initiatives.",No,"There is no discussion of product quality, consumer health and safety, product integrity, or customer data privacy; the focus is on industry analysis education.",No,"Although company Heads of Merchandising are named as speakers, the post does not discuss governance structures, executive compensation, or corporate management principles.",No,"There is no mention of investors, shareholder rights, financial reporting to shareholders, or anti-takeover measures.",No,"The post highlights an academic partnership and guest lecture but does not frame this within an overarching CSR strategy or integrated environmental, social, and governance decision-making framework."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post only describes the design and aesthetic qualities of a showroom chair and upholstery; it does not mention materials sourcing, energy or water consumption, or resource-efficient supply chain practices.",No,"There is no reference to emissions, pollution, or any measures to reduce environmental impact in production or operations.",No,"Although design aspects are highlighted, there is no explicit mention of environmental technologies, green processes, or eco-designed products aimed at reducing environmental burdens.",No,"The content does not discuss employees, workplace conditions, health and safety, diversity, or training.",No,"There is no mention of human rights policies, labor rights, or supplier standards such as avoiding child or forced labor.",No,"While the post references a Warsaw district, this is purely descriptive of location and aesthetics, not community engagement, philanthropy, or public health initiatives.",No,"The post does not address product safety, quality standards beyond aesthetics, customer health, or data privacy.",No,"There is no mention of corporate governance, leadership structures, or executive decision-making.",No,"The post does not refer to investors, shareholder rights, financial reporting, or anti-takeover measures.",No,"The content is a marketing description of showroom design, with no indication of broader CSR policies, reporting, or integration of ESG considerations into corporate strategy."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not mention materials, energy, water consumption, or supply chain resource efficiency.",No,"There is no reference to environmental pollution, emissions, or reduction of operational/production emissions.",No,"The content does not discuss environmental technologies, green processes, or eco-designed products.",Yes,"The post explicitly discusses workplace burnout, its symptoms, and the need for companies to create systems that encourage balance, care, and a healthier company culture—directly related to employee well-being and workplace health.",No,"Although it addresses employee well-being, it does not reference human rights conventions, child/forced labor, or supplier human rights policies.",No,"The focus is internal (employees and company culture), not on corporate citizenship, public health programs for the broader community, or localized charity.",No,"There is no mention of product quality, consumer safety, or customer data privacy.",No,"The post does not discuss governance structures, leadership decisions, or executive/board policies; it only generically notes that companies can create systems for balance and care without governance detail.",No,"There is no discussion of investors, shareholder rights, or investor reporting.",No,"The post is an awareness message about burnout, not an articulation of a broader CSR or ESG strategy or reporting framework."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post focuses on a jewellery pop-up experience, design, and branding; it does not mention materials efficiency, energy or water consumption, or supply chain resource management.",No,"There is no reference to environmental pollution, carbon footprint, or any emission-reduction measures in operations or production.",No,"Although the hashtag mentions 'JewelleryInnovation' and the text mentions 'pushing the boundaries of jewellery innovation,' this is in the context of creative design and branding, not environmental technologies, eco-design, or innovations aimed at reducing environmental impacts or costs.",No,"The post does not discuss employees, working conditions, safety, compensation, diversity, or training.",No,"There is no mention of human rights policies, supply chain labor standards, or avoidance of child/forced labor.",No,"While the designs are described as locally inspired and culturally relevant, the post does not describe community charity, public health initiatives, local social impact programs, or business ethics topics.",No,"The post talks about jewellery styling, creativity, and craftsmanship, but does not mention product safety, quality controls, consumer health, or data privacy.",No,"There is no discussion of corporate governance structures, leadership decisions, or executive compensation.",No,"The content does not address investor relations, shareholder rights, reporting, or anti-takeover measures.",No,"The post is a marketing communication about a brand collaboration and experiential pop-up, with no explicit reference to environmental, social, or governance strategies or reporting."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post talks about exhibiting apparel products and printing capabilities but does not mention materials efficiency, energy or water consumption, or eco-efficient supply chain/resource-reduction measures.",No,"There is no reference to emissions, pollution, carbon footprint, or any initiatives to reduce operational or production-related emissions.",No,"While the post mentions 'innovative printing capabilities,' it does not connect these innovations to environmental technologies, green processes, or eco-designed products aimed at reducing environmental impacts.",No,"The post refers to 'our teams' attending an expo but provides no information about employee well-being, safety, compensation, diversity, or training and development.",No,"There is no mention of human rights policies, labor rights in the supply chain, or avoidance of child/forced labor.",No,"The content is focused on industry networking and business relationships, not corporate citizenship, philanthropy, public health, or local community impact.",No,"Although product quality is implied by being a 'trusted partner' and allowing distributors to experience quality firsthand, there is no explicit discussion of consumer safety, health impacts, product integrity standards, or data privacy.",No,"The post does not discuss corporate governance structures, executive leadership decisions, or board-level topics.",No,"There is no reference to investors, shareholder communications, financial returns, or anti-takeover provisions.",No,"The hashtag #MakingApparelBetter is present, but the text does not explicitly describe environmental, social, or governance strategies, reporting, or integration into corporate decision-making; it is primarily a marketing and networking recap of an industry expo."
