Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,No,Yes,No,"The post mentions a new Chief Supply Chain Officer but does not reference any efforts to reduce materials, energy, water use, or improve eco-efficiency in the supply chain.",No,"There is no mention of greenhouse gas, air, or other emissions, nor any emission reduction targets, initiatives, or performance.",No,"The post does not reference environmentally focused innovation, eco-design, or environmental technologies; it only notes leadership in supply chain and strategy for the watch industry.",No,"Although it is a hiring/appointment announcement, there is no explicit mention of workplace health and safety, job satisfaction, diversity, equal opportunity, or employee development programs.",No,"No reference is made to human rights policies, practices, or adherence to human rights conventions.",No,"The post does not discuss community engagement, business ethics, philanthropy, or public health initiatives.",No,"There is no mention of product quality, customer health and safety, or data privacy; it only references strategy to become a leader in the watch industry.",No,"While a senior executive appointment is mentioned, there is no explicit reference to corporate governance practices, board structure, independence, or governance policies, so it cannot be classified under Management based on the given criteria.",No,"The post does not discuss shareholder rights, equal treatment of shareholders, or anti-takeover measures.",No,"There is no mention of CSR, sustainability strategy, ESG reporting, or integration of social/environmental factors into decision-making; the strategy referenced is purely about industry leadership without ESG context."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"The post does not mention materials, energy, water use, or eco-efficiency in operations or supply chain; it only refers generally to industrial and supply chain challenges without an environmental angle.",No,"There is no reference to greenhouse gases, pollution, or any effort to measure or reduce emissions.",No,"Although the word “innovation” appears, it is used in a generic sense about corporate vision and engineering, not specifically about environmental technologies, eco-designed products, or reducing environmental burdens for customers.",Yes,"The post focuses on engineers, career opportunities, internships, and work-study positions, and describes the working environment and roles at Hermès. This is explicit workforce content related to jobs and career development opportunities, which falls under the Workforce category.",No,"There is no mention of human rights issues, policies, or practices, nor any reference to labour rights, non-discrimination frameworks, or related conventions.",No,"The post does not discuss community engagement, philanthropy, public health, business ethics programs, or corporate citizenship beyond recruitment and education outreach.",No,"There is no explicit mention of product safety, customer health, data privacy, or product quality systems in a way that links to responsibility; “quality control” is mentioned only as an internal function without ESG framing.",No,"No information is provided about governance structures, board practices, executive compensation, or corporate policies related to governance best practices.",No,"The post does not address shareholder rights, treatment of minority shareholders, or anti-takeover measures.",No,"While it references a corporate vision, there is no explicit mention of integrating environmental, social, and governance aspects or CSR strategy/reporting. The focus is on engineering roles and recruitment, not CSR integration or disclosure."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,No,No,Yes,"The post explicitly states that the initiative helps women ""turn fabric waste into products like tote bags and tablecloths."" Using fabric waste as an input instead of new materials directly concerns material consumption and more eco-efficient resource use, fitting the Resource Use category.",No,"There is no mention of greenhouse gas emissions, pollution, or any explicit measures to monitor or reduce emissions.",No,"The post does not reference any new environmental technologies, green process innovations, or eco-designed products beyond simple upcycling; it focuses on training and community support rather than technological or process innovation.",No,"The initiative targets local women from low-income families in the community, not the company’s own employees or internal HR practices, so it does not fall under the Workforce category as defined.",No,"There is no explicit reference to human rights policies, conventions, or prevention of abuses such as child or forced labor.",Yes,"The post describes a corporate social initiative (Coats Cares) in partnership with an NGO to support local women from low-income families through skills training and income generation. This is a clear example of corporate citizenship and localized social impact, aligning with the Community category.",No,"While products (tote bags, tablecloths) are mentioned, there is no discussion of consumer health and safety, product quality standards, or data privacy, so Product Responsibility is not explicitly evidenced.",No,"The content does not mention governance structures, leadership decisions, or executive/board practices.",No,"There is no information related to shareholders, investor relations, or ownership/control mechanisms.",No,"Although the project is branded under ""Coats Cares"" and references sustainability, the post describes a single community initiative without explicitly outlining a broader CSR strategy, reporting framework, or integration of ESG into company-wide decision-making."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions a general focus on sustainability but includes no explicit detail on materials, energy, water consumption, or eco-efficient supply chain/resource efficiency measures. Therefore, Resource Use is not activated.",Yes,"The post explicitly refers to the company’s commitment to the Science Based Targets initiative (SBTi), which is directly about setting and achieving science-based greenhouse gas emissions reduction targets. This is clear, explicit evidence related to emissions reduction commitments, activating the Emissions category.",No,"Although the LOOP programme is mentioned, there is no description linking it explicitly to environmental technologies, green processes, or eco-designed products. Without clear evidence of environmental innovation, this category cannot be activated.",No,"There is no explicit mention of employees, workplace conditions, health and safety, diversity, compensation, or training. Thus, there is no basis to classify Workforce as active.",No,"The text does not reference human rights policies, conventions, or issues such as avoiding child or forced labor. Therefore, Human Rights is not active.",No,"The post does not discuss community engagement, public health, local social impact, charity, or business ethics initiatives. A generic focus on sustainability is not sufficient to explicitly evidence Community-related actions.",No,"There is no mention of product quality, consumer health and safety, product integrity, or customer data privacy. Hence, Product Responsibility is not supported by explicit evidence.",No,"While the CEO is mentioned and financial/strategic performance is discussed, there is no explicit reference to governance structures, board composition, executive pay policies, or governance principles. Thus, Management is not activated.",No,"Although financial results and an annual report are mentioned, there is no explicit discussion of shareholder rights, investor relations practices, or anti-takeover measures. Therefore, the Shareholders category is not active.",Yes,"The company links its strategic outlook and annual report to maintaining a clear focus on sustainability and explicitly references both the LOOP programme and its SBTi commitment. This indicates that ESG/sustainability is integrated into corporate strategy and communicated through formal reporting, which aligns with the CSR Strategy category."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention reducing use of materials, energy, or water, nor improving supply chain efficiency. It only discusses emissions reduction, so there is no explicit evidence of resource use initiatives.",Yes,The post explicitly states that the company reduced 61.8% in absolute emissions of Scope 3 (2021 baseline). This is direct evidence of actions and performance in lowering environmental emissions.,No,"There is no mention of new environmental technologies, eco-designed products, or innovations to reduce environmental burdens for customers. The post focuses on emissions performance and social/governance commitments, not on innovation.",Yes,"The post notes an increased Women’s Empowerment Principles Assessment Score to 75%, indicating progress on gender equality and empowerment, and it also highlights increased employee volunteerism. These are explicit workforce-related topics involving diversity, equal opportunities, and engagement.",No,"While women’s empowerment is mentioned, the post does not explicitly reference human rights conventions, policies, or human rights due diligence. There is no clear, direct evidence of a human rights program beyond general inclusion themes, so this category is not activated.",Yes,"The post states that employee volunteerism hours surged by 58%, reflecting dedication to community engagement. This is explicit evidence of community involvement and corporate citizenship activities.",No,"The post does not mention product quality, customer health and safety, data privacy, or integrity of products or services. No explicit product responsibility topics are raised.",No,"Although ESG is referenced, there is no specific information about corporate governance structures, board practices, compliance systems, or governance policies. Thus, there is no clear evidence for the Management category.",No,"The post does not discuss shareholder rights, equal treatment of shareholders, or anti-takeover measures. There is no explicit shareholder-related governance content.",Yes,"The post highlights the release of the '2024 Corporate Sustainability Highlights Report' and describes 'Make Time for Good' as a framework for managing environmental, social, and governance initiatives and guiding the company as a purpose-driven business. This is explicit evidence of a formal CSR strategy and reporting practice integrating ESG into decision-making."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,Yes,No,No,No,"The post discusses an educational collaboration and guest lecture in fashion and luxury management. There is no mention of materials, energy, water use, or eco-efficient supply chain management, so Resource Use is not active.",No,"There is no reference to greenhouse gas emissions, pollution, or any measures or commitments related to emission reduction.",No,"While the lecture covers the evolution of menswear and market dynamics, there is no explicit mention of environmental technologies, green processes, or eco-designed products aimed at reducing environmental impact.",No,"The content focuses on company executives giving a lecture to university students and a long-term partnership with a business school. It does not address internal employees’ job satisfaction, health and safety, diversity, compensation, or training policies, so Workforce is not active.",No,"There is no mention of human rights topics such as avoiding child or forced labor, human rights policies, or supplier auditing.",Yes,"The post highlights a 25-year collaboration with a university (SDA Bocconi School of Management) and educational engagement through a guest lecture for students. This reflects corporate citizenship and community involvement in education, fitting the Community category.",No,"Although the topic is fashion and luxury industry analysis, there is no explicit reference to product quality, consumer health and safety, product integrity, or customer data privacy.",No,"The post does not discuss governance structures, board composition, executive compensation policies, or corporate codes of conduct; it only mentions executives participating in an external lecture.",No,"There is no mention of shareholders, investor relations, financial reporting to investors, or anti-takeover mechanisms.",No,"The collaboration with the university is not framed in terms of CSR or ESG strategy, reporting, or integration into corporate decision-making. It is presented as an educational and industry partnership rather than a formal CSR initiative."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post describes the design, aesthetics, and atmosphere of a showroom and a specific chair upholstery pattern. There is no mention of material efficiency, water or energy reduction, or supply chain resource management, so Resource Use is not evidenced.",No,"There is no reference to greenhouse gas emissions, air pollution, or any initiatives or impacts related to emission reduction in production or operations.",No,"Although the post highlights design features, it does not mention environmentally focused innovation, eco-design for environmental benefits, or new environmental technologies or processes.",No,"The content does not address employees, workplace safety, job satisfaction, diversity, or development opportunities.",No,"There is no mention of human rights policies, practices, or issues such as labor rights, child labor, or discrimination.",No,"The post does not reference community engagement, public health, philanthropy, or business ethics topics. It only describes design within an urban district.",No,"The description focuses on aesthetics and atmosphere; there is no reference to product safety, quality standards, customer health and safety, or data privacy.",No,"No information is provided about corporate governance structures, board practices, or governance policies.",No,"The post does not discuss shareholder rights, treatment of shareholders, or anti-takeover measures.",No,"There is no indication of CSR policies, sustainability reporting, or integration of environmental or social considerations into strategy. The post is purely marketing and design-oriented without ESG content."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not mention materials, energy, water use, or supply chain resource efficiency; it only discusses employee burnout and workplace well-being.",No,"There is no reference to greenhouse gases, pollutants, or any emission reduction efforts; the focus is solely on stress and burnout at work.",No,"The content does not address new environmental technologies, eco-design, or environmental innovation, but rather mental health and workplace culture.",Yes,"The post explicitly discusses workplace burnout, its symptoms, and the importance of companies creating systems that encourage balance and care, leading to a healthier company culture and employees feeling they matter. This directly concerns job satisfaction, mental health, and a healthy workplace environment, which fits the Workforce category.",No,"Although employee well-being is discussed, there is no explicit mention of fundamental human rights conventions, labor rights standards, or human rights policies.",No,"The message is about internal workplace well-being and culture, not about community engagement, public health initiatives beyond the company, or broader business ethics topics.",No,"There is no discussion of product quality, customer health and safety, data privacy, or integrity of goods and services.",No,"The post does not mention governance structures, boards, executive oversight, or specific corporate governance practices; it stays at a general cultural level without linking to governance mechanisms.",No,"There is no reference to shareholder rights, equal treatment of shareholders, or anti-takeover measures.",No,"While the post touches on employee well-being, it does not describe a broader CSR strategy, formal programs, reporting, or integration of social, environmental, and financial dimensions into decision-making."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post describes a jewellery brand collaboration, pop-up experience, and design/styling concepts. There is no mention of reducing use of materials, energy, water, or eco-efficient supply chain practices.",No,"There is no reference to emissions, carbon footprint, pollution reduction, or any environmental emission-related initiatives.",No,"Although the post uses the word “innovation,” it is in a general marketing sense about creative jewellery and a pop-up experience, not about environmental technologies, eco-design to reduce environmental burden, or other environment-focused innovation as defined in the ESG framework.",No,"The post does not discuss employees, workplace conditions, health and safety, diversity, equal opportunities, or employee development.",No,"There is no mention of human rights policies, practices, or issues such as child labor, forced labor, discrimination, or adherence to human rights conventions.",No,"The content focuses on a commercial pop-up and creative collaboration. It does not address community engagement, public health, philanthropy, ethics programs, or broader societal impact.",No,"While the post promotes jewellery products, it does not mention product safety, quality standards in an ESG sense, customer health and safety, or data privacy and integrity.",No,"There is no information on corporate governance structures, board practices, ethics policies, or governance frameworks.",No,"The post does not discuss shareholder rights, equal treatment of shareholders, or anti-takeover measures.",No,"There is no indication of CSR strategy, sustainability reporting, or integration of environmental, social, and governance considerations into business decisions; the focus is purely on marketing a collaboration and pop-up experience."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post describes exhibiting apparel products and networking at an industry expo, with no mention of materials, energy, water use, or eco-efficiency in operations or supply chain.",No,"There is no reference to greenhouse gas emissions, pollution, or any efforts to measure or reduce emissions.",No,"Although it mentions 'innovative printing capabilities', this is not linked to environmental benefits or eco-design; it is presented as a commercial/product feature, not ESG-related innovation.",No,"The text does not address employees’ working conditions, health and safety, compensation, diversity, or training; it only notes that teams attended and connected at the expo.",No,"There is no explicit mention of human rights policies, labor rights, or avoidance of child/forced labor.",No,"The post focuses on industry relationships (suppliers, distributors, partners) at a trade expo, not on broader community engagement, philanthropy, or public health.",No,"While distributors experienced product quality firsthand, there is no explicit reference to consumer health and safety, product integrity policies, or data privacy responsibilities.",No,"No information is given about governance structures, leadership decisions, or board-level practices.",No,"The content does not discuss investors, shareholder rights, or reporting to shareholders.",No,"There is no explicit reference to CSR or ESG strategy, reporting, or integration into decision-making; the hashtag #MakingApparelBetter is general branding without concrete CSR details."
