Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Under Armour,2025-11-02T19:20:41.506Z,https://www.linkedin.com/posts/under-armour_shop-the-shoes-that-got-sharon-lokedi-over-activity-7390830228694249472-jY8k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Since her breakout win at the 2022 NYC Marathon, Lokedi has podiumed in four of her six marathons, but 2025 stands apart as her most impressive year yet. For this run, she trusted Under Armour’s UA Velociti Elite 3, the brand’s most advanced marathon race shoe engineered for speed, stability, and endurance, and the same model that powered her Boston Marathon victory. 

Now available on UA.com and in select run specialty stores, the Velociti Elite 3 continues to deliver when it matters most.

https://lnkd.in/dndqHcw",No,No,No,Yes,No,"Product marketing post for running shoes with no mention of reducing materials, energy, water use, or supply chain eco-efficiency.",No,No reference to operational or product-related emissions or reduction efforts.,No,"While the shoe is described as engineered for performance, there is no explicit environmental technology, eco-design, or reduction of environmental burdens mentioned.",No,"No content about employee health and safety, diversity, job satisfaction, or development.",No,No mention of policies or actions related to fundamental human rights.,No,"No references to community engagement, public health initiatives, or business ethics programs.",No,"Mentions product performance but not customer health and safety, product quality standards, or data privacy.",No,No discussion of corporate governance practices or structures.,No,"No information on shareholder rights, engagement, or anti-takeover measures.",No,No communication about integrating social/environmental considerations into strategy or CSR reporting.
Under Armour,2025-09-22T15:33:23.394Z,https://www.linkedin.com/posts/under-armour_patrick-duroseau-on-making-an-impact-with-activity-7375915123816763393-ulHC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"At Under Armour, we believe in showing up for others and Patrick Duroseau is doing just that through his work with Soles4Souls, a nonprofit that turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use – providing relief, creating jobs and empowering people to break the cycle of poverty.

As a longtime volunteer and current Executive Board member, Patrick helps guide Soles4Souls’ strategy, strengthen financial oversight, and scale impact across global communities. From distributing shoes domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic, he’s seen firsthand how something as simple as a pair of shoes can restore dignity, unlock education, and create economic opportunity.

His leadership reminds teammates that giving back isn’t just a gesture, it’s a mindset. He encourages his teammates to adopt this thinking and fully leverage Under Armour’s 40 hours of annual paid #volunteer time. Making an impact in the community fuels connection, purpose, and growth for everyone involved.

#LifeatUA #FightonTogether",Yes,Yes,Yes,No,Yes,"The post explicitly notes keeping unwanted shoes and clothing from going to waste by repurposing them through Soles4Souls, indicating circularity and waste reduction aligned with resource use efficiency.",No,There is no mention of reducing greenhouse gas emissions or other operational emissions.,No,"No reference to environmental technologies, eco-designed products, or processes that reduce environmental burdens for customers.",Yes,"Under Armour offers 40 hours of annual paid volunteer time and encourages teammates to participate, indicating initiatives that support employee engagement, purpose, and development.",No,"While dignity and education are mentioned, there is no explicit reference to fundamental human rights policies or conventions.",Yes,"The activities described—providing relief, creating jobs, empowering people to break poverty, and distributing shoes in multiple communities—demonstrate community impact and corporate citizenship.",No,"No discussion of customer health and safety, product quality standards, or data privacy.",No,"No information on Under Armour’s corporate governance practices; references to strategy and financial oversight pertain to the nonprofit, not the company.",No,"No mention of shareholder rights, equal treatment, or anti-takeover mechanisms.",Yes,"The post communicates a formal corporate program (40 hours paid volunteer time) and frames it within company values, showing integration of social impact into company practices and public CSR communication."
Under Armour,2025-08-14T14:14:48.452Z,https://www.linkedin.com/posts/under-armour_tini-stoessel-joins-under-armour-championing-activity-7361762221158199296-kSS_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Tini Stoessel Joins Under Armour, Championing a New Era of Performance and Self-Expression 

Argentinian pop sensation Tini is UA’s newest brand #ambassador, bringing her signature blend of strength, authenticity, and style to the forefront of #sport and #culture. 

With a fanbase that spans continents, Tini represents a new generation of #athletes. She will headline both regional and global campaigns, co-creating digital storytelling, live activations, and wellness-driven initiatives.  

https://lnkd.in/eB9mqVgM",No,No,No,Yes,No,"The post announces a brand ambassador and marketing initiatives without mentioning materials, energy/water efficiency, or supply chain eco-management.",No,"No reference to operational or production emissions, carbon targets, or reduction measures.",No,"There is no mention of environmental technologies, eco-designed products, or innovations that reduce environmental impact.",No,"The content does not address employee safety, job satisfaction, diversity/equal opportunity, or development; 'wellness-driven initiatives' are framed as marketing/consumer-facing.",No,No explicit mention of policies or actions related to fundamental human rights.,No,"The post focuses on campaigns and activations; it does not explicitly describe community investment, philanthropy, ethics programs, or public health initiatives.",No,"No discussion of product quality/safety, consumer health and safety, or data privacy/integrity.",No,"No information on corporate governance practices, structures, or policies.",No,"No content about shareholder rights, treatment, or anti-takeover measures.",No,"The announcement does not communicate integration of environmental, social, and financial dimensions into decision-making or CSR reporting."
Under Armour,2025-06-12T13:30:44.016Z,https://www.linkedin.com/posts/under-armour_lifeatua-fertilitybenefits-employeesupport-activity-7338920694056951809-NuDI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"We believe that supporting our Under Armour teammates means showing up for every chapter of their lives—including the journey to parenthood.
 
When teammate Crystal Sherrod first discussed UA’s fertility benefits, it was through heartfelt conversations with her teammates who had walked the same path. That sense of community and shared experience is what makes our culture so special. 
 
Through our medical plan, U.S. based teammates have access to a flexible and comprehensive benefit that includes:
🩺 Covered initial consultations and diagnostic testing
🏥 Access to a wide network of clinics
🎯 Point-based system for personalized treatment paths, including the option to begin with IVF
🤝 Dedicated point of contact to help navigate the process
 
For Crystal, this benefit wasn’t just helpful—it was life-changing. After 17 years at UA and welcoming a child through her IVF journey, she described the support as ""the best bonus UA has ever given me!"" From generous parental leave to leadership that understands the time and emotional investment fertility treatment requires, UA’s commitment to employee well-being goes far beyond the workplace.
 
#LifeAtUA #FertilityBenefits #EmployeeSupport #WorkplaceWellbeing #UnderArmourMakesYouBetter",No,Yes,No,No,No,"No mention of reducing materials, energy, or water use, nor supply chain eco-efficiency.",No,No reference to reducing operational or production emissions.,No,"No discussion of environmental technologies, eco-design, or innovations that lower environmental impacts.",Yes,"Explicit details on employee fertility benefits (consultations, testing, clinic network, IVF option, dedicated support), generous parental leave, and leadership support for well-being indicate workplace health, benefits, and job satisfaction initiatives.",No,"No explicit mention of policies or actions related to fundamental human rights conventions (e.g., freedom of association, child/forced labor, non-discrimination policies).",No,Content focuses on internal employee benefits rather than external community engagement or public health initiatives.,No,"No content about product quality, customer health and safety, or data privacy.",No,"No information on corporate governance practices, board structure, or policies.",No,"No mention of shareholder rights, equal treatment, or anti-takeover measures.",No,"While it highlights an employee benefit, it does not communicate an integrated CSR strategy or reporting across environmental, social, and economic dimensions."
Under Armour,2025-04-04T15:57:33.754Z,https://www.linkedin.com/posts/under-armour_shari-manning-on-volunteering-with-team-rubicon-activity-7313952882049892352-UpqS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEEwhR8BmoWSRVBrwSVy1xrDQ-w28beKGSw,"At Under Armour, we believe in the importance of making a difference in the communities where we live and work. To support our teammates in being a force for good, we are proud to offer 40 hours of annual paid volunteer time. This benefit provides our team the opportunity to support the causes they are passionate about, whether it's coaching youth, participating in environmental clean-ups, or helping local nonprofits.
 
This Volunteer Month, we're proud to celebrate the incredible efforts of our team members who dedicate their time and skills to make a difference and highlight one teammate who used her volunteer hours to make an #impact. 
 
Shari Manning supported our longstanding partner Team Rubicon in their relief efforts in Georgia following Hurricane Helene. She knew this was an opportunity to help uplift a community in need and she encourages other teammates to get involved.

#lifeatua #volunteermonth #fightontogether",No,Yes,No,No,No,"The post does not mention reducing materials, energy, or water use, nor supply chain eco-efficiency efforts.",No,There is no reference to reducing operational or production-related emissions.,No,"No environmental technologies, eco-designed products, or processes aimed at reducing environmental burdens are discussed.",Yes,"Under Armour explicitly offers 40 hours of paid volunteer time as an employee benefit and recognizes teammates’ efforts, which relates to job satisfaction and employee engagement.",No,No explicit mention of respecting fundamental human rights conventions or related policies.,Yes,"The post focuses on community impact through employee volunteering, including youth coaching, environmental clean-ups, nonprofit support, and disaster relief with Team Rubicon, reflecting corporate citizenship and public welfare support.",No,"No discussion of product quality, customer health and safety, or data privacy.",No,"No content on corporate governance practices, structures, or policies.",No,"No mention of shareholder rights, treatment, or anti-takeover measures.",Yes,"The company communicates a structured CSR initiative (paid volunteer time program) and a longstanding NGO partnership (Team Rubicon), indicating formal social responsibility practices and their integration into company culture."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_storelaunch-newstore-travelessentials-activity-7373651280667414529-9WF6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"✨ Exciting News! Our New Store Has Arrived in Malda! ✨

We are thrilled to announce the grand opening of our latest store at PRM Centre Point Mall, Malda, West Bengal. 🎉

Discover a wide range of high-quality luggage and travel accessories that combine durability, style, and innovation — designed to accompany you on every journey.

📍 Location: PRM Centre Point Mall, Malda, West Bengal
🛍️ Visit us today and elevate your travel experience with our exclusive collections.

Let your next adventure begin here! 🚀✈️

hashtag#StoreLaunch hashtag#NewStore hashtag#TravelEssentials hashtag#Luggage hashtag#RetailExpansion hashtag#WestBengal hashtag#ShoppingExperience hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel

Nrupal Mehta Akassh Mittal Anaysha Choudhury
",No,No,No,Yes,No,"The post announces a store opening and product offerings without any mention of reducing materials, energy, or water use, or improving supply chain eco-efficiency.",No,"There is no reference to greenhouse gas reductions, operational emissions, or emission management initiatives.",No,"Although the word 'innovation' is used in a marketing sense for products, there is no explicit link to environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"No information is provided about employee health and safety, job satisfaction, diversity, or development opportunities.",No,"The content does not address human rights policies, compliance, or related practices.",No,"A store opening is mentioned, but there is no explicit evidence of community investment, public health initiatives, or business ethics programs.",No,"While 'high-quality' products are mentioned, there is no discussion of customer health and safety, product safety standards, or data privacy.",No,"The post does not discuss corporate governance structures, policies, or practices.",No,"There is no mention of shareholder rights, engagement, or anti-takeover measures.",No,"No evidence of CSR integration, targets, or reporting is provided; this is a marketing announcement for a store opening."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_badmintontournament-teamspirit-funatwork-activity-7348591245344018432-Muq6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏸 Smashing Success at Our Badminton Tournament – 5th July 2025! 🏆

What a fantastic day it was as our teams battled it out on the court during our Inter-Department Badminton Tournament held on 5th July 2025! The energy, excitement, and enthusiasm were unmatched.

From powerful smashes to strategic drop shots, every match showcased amazing talent, sportsmanship, and team bonding. 💥💪

👏 A big round of applause to all the winners and participants who made the tournament a grand success — your spirit truly defines what it means to be a team!

Here’s to more such vibrant moments that bring us together beyond our workstations. 🥳

hashtag#BadmintonTournament hashtag#TeamSpirit hashtag#FunAtWork hashtag#EmployeeEngagement hashtag#SportsDay hashtag#LifeAtSafari hashtag#July2025 hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"No mention of reducing materials, energy, water use, or supply chain eco-efficiency.",No,No reference to operational or production emissions or reduction efforts.,No,"No discussion of environmental technologies, eco-design, or reducing customers’ environmental burden.",Yes,"Explicit focus on employee engagement, team bonding, and a company sports day event, evidencing efforts toward job satisfaction and workplace culture.",No,No content about adherence to human rights conventions or related policies.,No,The event is internal (inter-department tournament) with no indication of broader community or public health initiatives.,No,"No information on product quality, customer health and safety, or data privacy.",No,No details on corporate governance practices or structures.,No,"No mention of shareholder rights, treatment, or anti-takeover measures.",No,No communication about integrating social/environmental factors into strategy or CSR reporting.
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_safariindustries-travelsentryawards-awardwinningdesign-activity-7343949679866347521-KNoG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏆 Double Win for Safari! 🏆

We’re proud to share that we have been recognized with two prestigious awards at the Travel Sentry Product Awards 2025! ✈️🎉

This global recognition celebrates our dedication to design excellence, travel security, and customer-centric innovation in the luggage industry.

🔹 Award 1: [Phoenix LT - Soft Luggage https://lnkd.in/dsCZfkz5]
🔹 Award 2: [Caliber - Hard Luggage https://lnkd.in/dtTdKyC6 ]

These accolades are a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft. A heartfelt thank you to our customers, partners, and the entire Safari family for being part of this incredible journey.

Here's to setting new benchmarks in travel gear! 🌍🧳
hashtag#SafariIndustries hashtag#TravelSentryAwards hashtag#AwardWinningDesign hashtag#InnovationInTravel hashtag#ProudMoment hashtag#LuggageThatLeads hashtag#MadeForTheWorld hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"No reference to reducing materials, energy, or water use, or to eco-efficient supply chain management.",No,No mention of efforts or commitments to reduce environmental emissions.,No,"Innovation is mentioned in a general/product sense, not in relation to environmental technologies or eco-designed products.",No,"While the post thanks the team, it does not explicitly address job satisfaction programs, workplace health and safety, diversity, or employee development.",No,No explicit mention of respecting fundamental human rights conventions.,No,"No explicit content about community engagement, public health initiatives, or business ethics programs.",Yes,"Awards for 'design excellence' and 'travel security' in luggage indicate a focus on product quality and customer safety/security, aligning with product responsibility.",No,No content related to corporate governance practices or board management.,No,"No mention of shareholder rights, treatment, or anti-takeover measures.",No,"The post does not communicate integration of financial, social, and environmental dimensions into decision-making or CSR reporting."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_internationalyogaday-wellnessatwork-employeewellbeing-activity-7342823913841688576-_owi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Today, our team came together to embrace the spirit of balance, mindfulness, and well-being through a rejuvenating yoga session at the workplace.

From ""Surya Namaskar"" to ""Deep Breathing"", our employees took a mindful pause from their busy routines to prioritize health — both physical and mental.

At Safari, we believe wellness is not just a practice, but a culture. A huge thank you to everyone who participated and brought such positive energy to the day! 🌿✨

Here’s to staying healthy, centered, and connected — on and off the mat. hashtag#InternationalYogaDay hashtag#WellnessAtWork hashtag#EmployeeWellbeing hashtag#HealthyWorkplace hashtag#YogaForLife hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,Yes,No,No,No,"No mention of reducing materials, energy, or water use, nor supply chain eco-efficiency initiatives.",No,No reference to efforts or commitments to reduce environmental emissions.,No,"No discussion of environmental technologies, eco-designed products, or reducing environmental burdens for customers.",Yes,"The post focuses on employee well-being through a workplace yoga session and promoting a healthy workplace culture, aligning with health, safety, and job satisfaction aspects of the Workforce category.",No,No explicit mention of respecting fundamental human rights conventions or related policies.,No,"The activity is internal to employees and does not describe community engagement, philanthropy, or public health initiatives beyond the workplace.",No,"No content about product safety, quality, customer health and safety, or data privacy.",No,"No information on corporate governance practices, structures, or policies.",No,"No mention of shareholder rights, equal treatment, or anti-takeover measures.",No,"While it promotes wellness culture, it does not communicate integration of financial, social, and environmental dimensions into decision-making or CSR reporting."
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_design-tour-mumbai-activity-7323941240046010368-J9yn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Empowering Creativity through Collaboration!
It was energizing to see such enthusiastic participation, diverse perspectives, and creative approach come together in one space.

A big shoutout to Nazuk Keshan for turning this workshop into a masterclass in design thinking.

Kudos to Parul University for fostering such a passionate and creative student Community!!

hashtag#designtour hashtag#designworkshop hashtag#industrialvisit hashtag#Safaribags hashtag#Safari hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel",No,No,No,Yes,No,"The post discusses a design thinking workshop and collaboration, with no mention of reducing materials, energy, water use, or supply chain eco-efficiency.",No,"There is no reference to emissions, carbon footprint, or pollution reduction initiatives.",No,"While creativity and design thinking are mentioned, there is no explicit link to environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"The content references participation and diverse perspectives in a workshop but does not address employee safety, job satisfaction, diversity/equal opportunity policies, or workforce development programs within the company.",No,No mention of respecting or addressing fundamental human rights conventions.,No,"Although it praises a university’s student community, there is no explicit corporate community investment, public health initiative, philanthropy, or business ethics content.",No,"No information on product quality, consumer health and safety, or data privacy.",No,"No discussion of corporate governance practices, board structure, or policies.",No,"No mention of shareholder rights, treatment, or anti-takeover measures.",No,"No evidence of communicating integrated economic, social, and environmental decision-making or CSR reporting; the post is about a creative workshop/industrial visit."
